SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,2.4150E+03,6.9957E+00,-1.8531E+00,8.5478E-03,5.2293E-02,0.0000E+00,4.0000E+00,1.4717E-02,-1.6358E-02,1.0657E-04,2.0034E-03
1,3.0000E+01,2.4300E+03,6.9843E+00,-1.8537E+00,9.9855E-03,1.0122E-02,0.0000E+00,4.0000E+00,1.7513E-02,-1.6358E-02,1.0657E-04,2.0034E-03
2,4.5000E+01,2.4300E+03,6.7413E+00,-1.7847E+00,1.0275E-02,1.0635E-02,0.0000E+00,4.0000E+00,1.7620E-02,9.0502E-03,7.5338E-04,7.3213E-04
3,4.5000E+01,2.4150E+03,6.7435E+00,-1.7885E+00,9.5209E-03,5.7993E-02,0.0000E+00,4.0000E+00,1.5977E-02,9.0502E-03,7.5338E-04,7.3213E-04
4,6.0000E+01,2.4150E+03,7.3134E+00,-1.7438E+00,8.7010E-03,3.8909E-02,0.0000E+00,4.0000E+00,1.5475E-02,7.5921E-03,1.8008E-03,-1.5888E-03
5,6.0000E+01,2.4300E+03,7.2066E+00,-1.7133E+00,8.6754E-03,8.0436E-03,0.0000E+00,4.0000E+00,1.4961E-02,8.2282E-03,-2.6673E-03,-8.7511E-04
6,6.0000E+01,2.4450E+03,4.3940E+00,-1.9923E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
7,7.5000E+01,2.4450E+03,7.1278E+00,-1.9045E+00,9.3475E-03,1.6855E-02,0.0000E+00,4.0000E+00,1.4072E-02,-2.2678E-02,-1.2098E-02,4.9524E-03
8,7.5000E+01,2.4300E+03,6.9371E+00,-1.7422E+00,8.5163E-03,7.8612E-03,0.0000E+00,4.0000E+00,1.4391E-02,-2.3535E-02,-4.4093E-03,8.3617E-04
9,7.5000E+01,2.4150E+03,7.0016E+00,-1.7886E+00,8.7277E-03,3.1548E-02,0.0000E+00,4.0000E+00,1.4929E-02,-2.3922E-02,2.1637E-03,-2.1879E-03
10,9.0000E+01,2.4150E+03,6.5109E+00,-1.7878E+00,8.6500E-03,5.3365E-02,0.0000E+00,4.0000E+00,1.4104E-02,-4.5250E-02,3.1341E-03,5.2190E-03
11,9.0000E+01,2.4300E+03,6.5562E+00,-1.7677E+00,8.5025E-03,1.1204E-02,0.0000E+00,4.0000E+00,1.4402E-02,-4.6106E-02,-4.0597E-03,4.1461E-03
12,9.0000E+01,2.4450E+03,6.7077E+00,-1.9825E+00,8.8856E-03,1.7704E-02,0.0000E+00,4.0000E+00,1.4668E-02,-4.2375E-02,-1.1194E-02,3.0638E-03
13,1.0500E+02,2.4450E+03,5.6572E+00,-1.8253E+00,7.6743E-03,3.9805E-02,0.0000E+00,4.0000E+00,1.2650E-02,-5.8108E-02,-1.1423E-02,3.7781E-03
14,1.0500E+02,2.4300E+03,5.8087E+00,-1.6955E+00,8.2833E-03,3.3438E-02,0.0000E+00,4.0000E+00,1.4135E-02,-6.3564E-02,-4.1623E-03,6.6819E-03
15,1.0500E+02,2.4150E+03,5.3505E+00,-1.7676E+00,7.6494E-03,1.6353E-01,0.0000E+00,4.0000E+00,1.2168E-02,-6.1567E-02,3.2222E-03,9.4045E-03
16,2.4000E+02,3.0000E+01,3.3509E+00,-6.8401E+00,4.3824E-03,2.3529E-02,0.0000E+00,4.0000E+00,6.1938E-03,1.0587E-04,-5.9215E-04,8.9180E-04
17,2.4000E+02,4.5000E+01,3.4094E+00,-6.8735E+00,4.9300E-03,2.4905E-02,0.0000E+00,4.0000E+00,6.9599E-03,6.0580E-05,2.1822E-03,1.6264E-03
18,2.4000E+02,6.0000E+01,3.5445E+00,-6.7850E+00,4.7056E-03,2.4694E-02,0.0000E+00,4.0000E+00,6.6785E-03,1.0669E-04,4.2033E-03,1.9865E-03
19,2.4000E+02,7.5000E+01,3.6395E+00,-6.7323E+00,4.3970E-03,1.8898E-02,0.0000E+00,4.0000E+00,6.3132E-03,-6.3370E-04,4.0479E-03,1.1883E-03
20,2.4000E+02,9.0000E+01,3.7343E+00,-6.6652E+00,5.1918E-03,1.9792E-02,0.0000E+00,4.0000E+00,7.6675E-03,-1.9187E-03,5.6279E-03,1.0600E-03
21,2.4000E+02,1.0500E+02,3.8929E+00,-6.5250E+00,6.1952E-03,1.9859E-02,0.0000E+00,4.0000E+00,9.2113E-03,-2.3946E-03,3.7741E-03,1.4477E-04
22,2.4000E+02,1.2000E+02,3.9411E+00,-6.5364E+00,4.4360E-03,2.5869E-02,0.0000E+00,4.0000E+00,6.5339E-03,-2.1688E-03,2.4984E-03,-9.9112E-04
23,2.4000E+02,1.3500E+02,3.9959E+00,-6.4895E+00,4.4851E-03,2.8195E-02,0.0000E+00,4.0000E+00,6.6318E-03,-1.4469E-03,3.2540E-03,8.6559E-04
24,2.4000E+02,1.5000E+02,4.1261E+00,-6.4527E+00,5.1246E-03,2.4728E-02,0.0000E+00,4.0000E+00,7.5206E-03,-6.6087E-04,1.7930E-03,1.2742E-03
25,2.4000E+02,1.6500E+02,4.1544E+00,-6.4636E+00,5.5019E-03,2.5795E-02,0.0000E+00,4.0000E+00,7.9387E-03,-3.0122E-04,2.1564E-03,1.3805E-03
26,2.4000E+02,1.8000E+02,4.2227E+00,-6.4261E+00,5.2058E-03,2.0925E-02,0.0000E+00,4.0000E+00,7.6083E-03,-2.3797E-04,4.4410E-03,2.3620E-03
27,2.4000E+02,1.9500E+02,4.3221E+00,-6.3172E+00,4.1724E-03,1.6325E-02,0.0000E+00,4.0000E+00,6.0288E-03,-3.0726E-04,3.8529E-03,1.3408E-03
28,2.4000E+02,2.1000E+02,4.3317E+00,-6.2969E+00,4.4646E-03,2.1296E-02,0.0000E+00,4.0000E+00,6.3457E-03,-1.1791E-03,3.5451E-03,2.2788E-04
