SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,2.4150E+03,9.0320E-15,-1.1479E-14,9.4094E-03,3.5980E-28,0.0000E+00,4.0000E+00,1.2748E-02,-3.7299E-16,5.4601E-16,-1.6013E-16
1,3.0000E+01,2.4300E+03,1.4489E-14,-2.8057E-15,9.6840E-03,1.8429E-28,0.0000E+00,4.0000E+00,1.7267E-02,-3.7299E-16,5.4601E-16,-1.6013E-16
2,4.5000E+01,2.4300E+03,-1.0749E-15,-3.5805E-15,1.0498E-02,1.6741E-28,0.0000E+00,4.0000E+00,1.3011E-02,-2.2689E-15,1.8015E-15,2.5204E-17
3,4.5000E+01,2.4150E+03,1.3407E-14,-1.1288E-14,9.9847E-03,3.8258E-28,0.0000E+00,4.0000E+00,1.4534E-02,-2.6134E-15,4.1811E-16,-8.3664E-16
4,6.0000E+01,2.4150E+03,-3.3829E-14,-8.7938E-15,1.0788E-02,2.3962E-28,0.0000E+00,4.0000E+00,1.9052E-02,-1.1358E-15,1.3535E-16,-1.3915E-15
5,6.0000E+01,2.4300E+03,-9.9451E-14,-6.3590E-15,1.1098E-02,2.0104E-28,0.0000E+00,4.0000E+00,1.9913E-02,-1.0312E-15,2.2674E-15,-3.8230E-16
6,6.0000E+01,2.4450E+03,-3.2481E-14,6.2330E-14,1.0307E-02,4.7758E-28,0.0000E+00,4.0000E+00,1.3803E-02,-1.7470E-15,4.9173E-15,6.2320E-16
7,7.5000E+01,2.4450E+03,-6.0830E-14,7.5250E-14,9.6878E-03,4.2162E-28,0.0000E+00,4.0000E+00,1.3542E-02,3.7192E-15,5.6595E-15,4.1253E-16
8,7.5000E+01,2.4300E+03,-5.2414E-14,-6.8691E-15,1.0883E-02,1.9618E-28,0.0000E+00,4.0000E+00,1.8897E-02,3.2500E-15,2.8688E-15,-1.9710E-16
9,7.5000E+01,2.4150E+03,-3.4000E-15,-2.8180E-15,1.0198E-02,6.6650E-28,0.0000E+00,4.0000E+00,1.4987E-02,3.9827E-15,7.8087E-17,-8.9697E-16
10,9.0000E+01,2.4150E+03,3.5524E-14,-1.0627E-14,8.7150E-03,5.5394E-28,0.0000E+00,4.0000E+00,1.4144E-02,4.4508E-15,1.4514E-16,7.5826E-17
11,9.0000E+01,2.4300E+03,7.0161E-14,-5.4969E-15,1.0077E-02,2.6977E-28,0.0000E+00,4.0000E+00,1.7571E-02,3.8984E-15,3.2052E-15,-8.0915E-16
12,9.0000E+01,2.4450E+03,2.1058E-14,9.8370E-14,9.6896E-03,6.2147E-28,0.0000E+00,4.0000E+00,1.2522E-02,4.3201E-15,6.2652E-15,-1.7061E-15
13,1.0500E+02,2.4450E+03,2.2979E-14,8.4810E-14,8.0686E-03,5.8848E-28,0.0000E+00,4.0000E+00,1.0176E-02,1.8247E-15,6.6605E-15,-2.8051E-15
