SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,2.4150E+03,-8.8944E-01,-7.9477E+00,8.5453E-03,3.7433E-02,0.0000E+00,4.0000E+00,1.0342E-02,-3.8209E-03,3.1709E-04,-1.1704E-04
1,3.0000E+01,2.4300E+03,-8.9361E-01,-7.9430E+00,8.6904E-03,7.5656E-03,0.0000E+00,4.0000E+00,1.0475E-02,-3.8209E-03,3.1709E-04,-1.1704E-04
2,4.5000E+01,2.4300E+03,-9.5677E-01,-7.9366E+00,1.0475E-02,7.7635E-03,0.0000E+00,4.0000E+00,1.2762E-02,6.1552E-03,-2.1182E-03,-5.6335E-03
3,4.5000E+01,2.4150E+03,-9.4113E-01,-7.9414E+00,9.4805E-03,4.5750E-02,0.0000E+00,4.0000E+00,1.1658E-02,8.3343E-03,4.8130E-04,-9.5033E-04
4,6.0000E+01,2.4150E+03,-6.0005E-01,-7.9380E+00,9.5163E-03,3.4030E-02,0.0000E+00,4.0000E+00,1.1355E-02,6.7442E-03,6.0815E-04,-1.7996E-03
5,6.0000E+01,2.4300E+03,-6.8501E-01,-7.9260E+00,9.7295E-03,7.5344E-03,0.0000E+00,4.0000E+00,1.1815E-02,1.2035E-02,-1.9964E-03,-1.5061E-03
6,6.0000E+01,2.4450E+03,-1.1342E+00,-8.0377E+00,8.8662E-03,2.6294E-02,0.0000E+00,4.0000E+00,1.2147E-02,1.6064E-02,-5.3321E-03,-1.8783E-03
7,7.5000E+01,2.4450E+03,-3.3395E-01,-8.0057E+00,7.8954E-03,1.6273E-02,0.0000E+00,4.0000E+00,1.0863E-02,-1.9235E-03,-6.7386E-03,-1.8484E-05
8,7.5000E+01,2.4300E+03,-7.5924E-01,-7.9583E+00,9.2460E-03,8.6162E-03,0.0000E+00,4.0000E+00,1.1390E-02,-6.6567E-03,-3.7610E-03,-3.1194E-04
9,7.5000E+01,2.4150E+03,-7.3539E-01,-7.9686E+00,9.1247E-03,3.0899E-02,0.0000E+00,4.0000E+00,1.1078E-02,-1.3655E-02,-7.7203E-04,-6.9326E-04
10,9.0000E+01,2.4150E+03,-1.0856E+00,-7.9136E+00,8.2633E-03,5.1590E-02,0.0000E+00,4.0000E+00,1.0347E-02,-1.4450E-02,-2.0424E-03,2.5745E-03
11,9.0000E+01,2.4300E+03,-1.0245E+00,-7.9708E+00,9.1604E-03,1.2173E-02,0.0000E+00,4.0000E+00,1.1243E-02,-1.7351E-02,-4.4172E-03,4.8573E-03
12,9.0000E+01,2.4450E+03,-9.1037E-01,-8.1159E+00,9.4216E-03,2.1722E-02,0.0000E+00,4.0000E+00,1.2122E-02,-1.7882E-02,-6.7531E-03,7.1808E-03
13,1.0500E+02,2.4450E+03,-1.0359E+00,-8.0308E+00,8.9750E-03,3.6042E-02,0.0000E+00,4.0000E+00,1.1301E-02,-7.9923E-03,-8.6710E-03,5.9544E-03
14,1.0500E+02,2.4300E+03,-1.1400E+00,-7.9139E+00,9.4140E-03,1.7510E-02,0.0000E+00,4.0000E+00,1.1479E-02,-8.4803E-03,-6.0396E-03,5.1027E-03
