SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,2.4150E+03,2.6323E-01,5.9619E-01,8.4176E-03,3.7173E-02,0.0000E+00,4.0000E+00,1.0640E-02,3.0665E-03,1.9455E-04,3.2299E-04
1,3.0000E+01,2.4300E+03,2.7785E-01,5.9619E-01,8.6879E-03,8.4253E-03,0.0000E+00,4.0000E+00,1.0962E-02,3.0665E-03,1.9455E-04,3.2299E-04
2,4.5000E+01,2.4300E+03,3.0519E-01,6.1277E-01,1.0666E-02,8.8387E-03,0.0000E+00,4.0000E+00,1.3646E-02,1.7958E-02,7.6323E-05,-1.1094E-03
3,4.5000E+01,2.4150E+03,3.2773E-01,6.0694E-01,1.0065E-02,4.6906E-02,0.0000E+00,4.0000E+00,1.3102E-02,1.7958E-02,7.6323E-05,-1.1094E-03
4,6.0000E+01,2.4150E+03,8.8329E-01,6.4327E-01,1.0447E-02,3.6988E-02,0.0000E+00,4.0000E+00,1.5801E-02,1.3940E-04,-2.1407E-04,-2.7049E-03
5,6.0000E+01,2.4300E+03,7.2571E-01,6.4057E-01,1.1315E-02,7.9197E-03,0.0000E+00,4.0000E+00,1.6660E-02,-2.6324E-04,-3.2897E-03,-3.8946E-03
6,6.0000E+01,2.4450E+03,2.5966E-01,-2.6762E-01,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
7,7.5000E+01,2.4450E+03,2.9491E-01,4.7516E-01,1.1662E-02,1.5649E-02,0.0000E+00,4.0000E+00,1.6867E-02,-1.6693E-02,-8.3634E-03,1.0615E-03
8,7.5000E+01,2.4300E+03,2.9353E-01,5.9712E-01,1.0705E-02,8.0939E-03,0.0000E+00,4.0000E+00,1.3901E-02,-2.1963E-02,-4.9187E-03,3.8766E-04
9,7.5000E+01,2.4150E+03,3.4775E-01,6.1049E-01,9.1529E-03,3.1328E-02,0.0000E+00,4.0000E+00,1.1915E-02,-2.5132E-02,-1.7771E-03,-1.3413E-03
10,9.0000E+01,2.4150E+03,-1.3240E-02,6.6083E-01,8.7681E-03,4.3501E-02,0.0000E+00,4.0000E+00,1.0933E-02,-1.1196E-02,-2.7410E-03,1.7795E-03
11,9.0000E+01,2.4300E+03,9.4871E-02,5.9674E-01,9.2070E-03,1.0987E-02,0.0000E+00,4.0000E+00,1.1323E-02,-9.1263E-03,-4.5770E-03,3.2170E-03
12,9.0000E+01,2.4450E+03,2.9394E-01,4.7888E-01,1.0443E-02,1.2997E-02,0.0000E+00,4.0000E+00,1.4112E-02,-7.0716E-03,-6.4043E-03,4.3701E-03
13,1.0500E+02,2.4450E+03,1.4523E-01,5.5604E-01,7.6390E-03,1.9038E-02,0.0000E+00,4.0000E+00,9.6306E-03,-7.5089E-03,-5.5371E-03,6.8496E-03
14,1.0500E+02,2.4300E+03,1.7340E-02,6.0655E-01,8.0327E-03,1.6892E-02,0.0000E+00,4.0000E+00,9.7726E-03,-5.8618E-03,-4.5986E-03,5.0485E-03
15,1.0500E+02,2.4150E+03,-5.1623E-02,6.5278E-01,7.1175E-03,7.9559E-02,0.0000E+00,4.0000E+00,9.0463E-03,-3.8563E-03,-3.6530E-03,2.9691E-03
