Time,Displacement,Force
(s),(mm),(kN)
0,0,0.0003
1,0.0307,0.0233
2,0.0641,0.0481
3,0.0973,0.072
4,0.1308,0.0958
5,0.1641,0.1192
6,0.1975,0.1424
7,0.2308,0.1654
8,0.2641,0.1882
9,0.2974,0.2105
10,0.3307,0.2328
11,0.3641,0.2548
12,0.3974,0.2767
13,0.431,0.2987
14,0.4642,0.3199
15,0.4975,0.3412
16,0.5309,0.3625
17,0.5642,0.3834
18,0.5976,0.4044
19,0.6308,0.4249
20,0.6642,0.4453
21,0.6976,0.4657
22,0.7309,0.4857
23,0.7642,0.5056
24,0.7976,0.5255
25,0.8308,0.5452
26,0.8641,0.5644
27,0.8974,0.5838
28,0.9307,0.603
29,0.9641,0.6219
30,0.9973,0.6407
31,1.0307,0.6593
32,1.0642,0.678
33,1.0974,0.6961
34,1.1308,0.7143
35,1.1641,0.7324
36,1.1974,0.7501
37,1.2309,0.7679
38,1.264,0.7851
39,1.2975,0.8025
40,1.331,0.8197
41,1.3642,0.8366
42,1.3976,0.8534
43,1.4309,0.8698
44,1.4642,0.8861
45,1.4975,0.902
46,1.5309,0.9177
47,1.5641,0.9329
48,1.5976,0.948
49,1.6309,0.9631
50,1.6642,0.9779
51,1.6976,0.9926
52,1.7308,1.007
53,1.7641,1.0214
54,1.7974,1.0355
55,1.8307,1.0495
56,1.8642,1.0633
57,1.8973,1.0769
58,1.9307,1.0904
59,1.9642,1.1037
60,1.9975,1.1168
61,2.0308,1.1299
62,2.064,1.1427
63,2.0974,1.1553
64,2.1308,1.1679
65,2.1641,1.1801
66,2.1974,1.1922
67,2.2309,1.2045
68,2.2642,1.2162
69,2.2975,1.2279
70,2.331,1.2395
71,2.3642,1.2507
72,2.3975,1.2619
73,2.4308,1.2728
74,2.4641,1.2837
75,2.4977,1.2945
76,2.5308,1.3049
77,2.5642,1.3152
78,2.5976,1.3255
79,2.6308,1.3354
80,2.6642,1.3453
81,2.6974,1.355
82,2.7307,1.3644
83,2.7642,1.3739
84,2.7974,1.3828
85,2.8308,1.392
86,2.8641,1.4008
87,2.8975,1.4096
88,2.9308,1.4181
89,2.9641,1.4264
90,2.9974,1.4347
91,3.0308,1.4427
92,3.0641,1.4506
93,3.0975,1.4582
94,3.131,1.4661
95,3.1642,1.4732
96,3.1975,1.4806
97,3.2309,1.4879
98,3.2642,1.4948
99,3.2976,1.5015
100,3.3308,1.5082
101,3.3642,1.5145
102,3.3976,1.5209
103,3.4309,1.5272
104,3.4642,1.5334
105,3.4975,1.5392
106,3.5308,1.5449
107,3.5641,1.5507
108,3.5975,1.556
109,3.6307,1.5614
110,3.6641,1.5667
111,3.6973,1.5716
112,3.7307,1.5765
113,3.7642,1.5816
114,3.7974,1.5861
115,3.8308,1.5908
116,3.8641,1.5953
117,3.8974,1.5996
118,3.9309,1.604
119,3.964,1.608
120,3.9974,1.6121
121,4.0309,1.6159
122,4.0642,1.6196
123,4.0976,1.6235
124,4.1309,1.6269
125,4.1642,1.6304
126,4.1976,1.6337
127,4.2309,1.637
128,4.2641,1.64
129,4.2976,1.6429
130,4.3309,1.6458
131,4.3642,1.6485
132,4.3976,1.6513
133,4.4308,1.6538
134,4.4641,1.6562
135,4.4974,1.6585
136,4.5307,1.6607
137,4.5642,1.6628
138,4.5973,1.6647
139,4.6307,1.6667
140,4.6642,1.6686
141,4.6975,1.6702
142,4.7308,1.6719
143,4.764,1.6734
144,4.7974,1.6746
145,4.8308,1.6759
146,4.8642,1.6772
147,4.8974,1.678
148,4.9309,1.679
149,4.9642,1.6797
150,4.9975,1.6805
151,5.031,1.6811
152,5.0642,1.6816
153,5.0975,1.6818
154,5.1308,1.6819
155,5.1642,1.682
156,5.1976,1.682
157,5.2308,1.682
158,5.2641,1.6817
159,5.2976,1.6814
160,5.3308,1.6809
161,5.3642,1.6804
162,5.3973,1.6797
163,5.4307,1.6789
164,5.4641,1.6781
165,5.4974,1.677
166,5.5308,1.6758
167,5.5641,1.6747
168,5.5975,1.6734
169,5.6308,1.6718
170,5.6641,1.6704
171,5.6973,1.6686
172,5.7308,1.667
173,5.7641,1.6651
174,5.7974,1.6632
175,5.831,1.6613
176,5.8642,1.6592
177,5.8975,1.657
178,5.9309,1.6549
179,5.9642,1.6527
180,5.9976,1.6503
181,6.0308,1.6482
182,6.0641,1.6456
183,6.0976,1.6433
184,6.1309,1.6408
185,6.1642,1.6383
186,6.1975,1.6358
187,6.2309,1.6333
188,6.2641,1.6307
189,6.2975,1.6282
190,6.3306,1.6254
191,6.3641,1.6224
192,6.3973,1.6185
192.248,6.4068,0.1506
