SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,9.0000E+01,3.1050E+03,6.6400E-01,5.9525E-01,4.7214E-03,2.1288E-02,0.0000E+00,4.0000E+00,6.3955E-03,-2.7896E-02,-5.0293E-02,-3.3793E-03
1,9.0000E+01,3.1200E+03,6.6363E-01,-7.4388E-01,4.5380E-03,2.1554E-02,0.0000E+00,4.0000E+00,6.7450E-03,-2.6251E-02,-3.1849E-02,2.1626E-03
2,1.0500E+02,3.1350E+03,4.0757E-01,-6.0479E-01,4.2695E-03,3.2710E-02,0.0000E+00,4.0000E+00,5.9614E-03,-1.3213E-02,-2.1723E-02,1.1510E-02
3,1.0500E+02,3.1200E+03,2.2331E-01,-2.6969E-01,4.2219E-03,1.6429E-02,0.0000E+00,4.0000E+00,6.2674E-03,-1.5661E-02,-3.0759E-02,7.0052E-03
4,1.0500E+02,3.1050E+03,2.5487E-01,-6.0025E-02,4.2641E-03,1.1804E-02,0.0000E+00,4.0000E+00,5.7142E-03,-1.5629E-02,-4.4719E-02,7.0268E-03
5,1.2000E+02,3.0600E+03,5.5703E-01,-7.4404E-02,4.8104E-03,7.3184E-02,0.0000E+00,4.0000E+00,7.4073E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,1.2000E+02,3.0750E+03,5.2070E-01,-8.2494E-02,5.3287E-03,5.7462E-02,0.0000E+00,4.0000E+00,8.8607E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,1.2000E+02,3.1200E+03,2.7492E-01,1.6125E-02,4.9420E-03,4.9041E-02,0.0000E+00,4.0000E+00,7.4806E-03,3.4535E-03,-1.7023E-02,4.6637E-03
8,1.2000E+02,3.1350E+03,1.6653E-01,-3.6766E-01,5.4450E-03,2.7384E-02,0.0000E+00,4.0000E+00,7.4716E-03,3.1480E-03,-2.0572E-02,3.5642E-03
9,1.3500E+02,3.1200E+03,4.6053E-01,-9.1698E-02,4.5252E-03,3.5300E-02,0.0000E+00,4.0000E+00,6.5905E-03,1.2476E-02,-2.5233E-02,-7.1599E-03
10,3.9000E+02,1.9050E+03,7.5149E+00,-4.7334E+01,3.9132E-03,1.4521E-02,0.0000E+00,4.0000E+00,5.5006E-03,9.3570E-03,5.1604E-02,-3.3581E-03
11,3.9000E+02,1.9200E+03,7.3254E+00,-4.6580E+01,3.8681E-03,8.3990E-03,0.0000E+00,4.0000E+00,5.1114E-03,-2.0760E-02,4.3575E-02,-5.7311E-03
12,3.9000E+02,1.9350E+03,7.5068E+00,-4.5929E+01,5.9600E-03,1.5541E-02,0.0000E+00,4.0000E+00,6.7912E-03,-2.4125E-02,3.5390E-02,-1.2144E-02
13,4.0500E+02,2.0400E+03,6.4969E+00,-4.1885E+01,4.6492E-03,7.5401E-03,0.0000E+00,4.0000E+00,9.1214E-03,0.0000E+00,0.0000E+00,0.0000E+00
14,4.0500E+02,2.0250E+03,6.5492E+00,-4.2847E+01,4.1760E-03,1.1184E-02,0.0000E+00,4.0000E+00,6.7588E-03,0.0000E+00,0.0000E+00,0.0000E+00
15,4.0500E+02,1.9350E+03,6.6345E+00,-4.6108E+01,7.0439E-03,1.4918E-02,0.0000E+00,4.0000E+00,8.1142E-03,-1.5204E-02,3.4821E-02,-1.1509E-02
16,4.0500E+02,1.9200E+03,7.4649E+00,-4.6494E+01,4.6937E-03,7.3890E-03,0.0000E+00,4.0000E+00,6.1626E-03,-1.5204E-02,4.3575E-02,-7.9280E-03
17,4.2000E+02,1.4850E+03,8.1749E+00,-6.3997E+01,4.8727E-03,1.4276E-02,0.0000E+00,4.0000E+00,8.2574E-03,0.0000E+00,0.0000E+00,0.0000E+00
18,4.2000E+02,1.9350E+03,6.8622E+00,-4.6143E+01,4.0648E-03,1.8108E-02,0.0000E+00,4.0000E+00,5.3697E-03,1.5293E-02,2.7601E-02,-2.9302E-02
19,4.5000E+02,1.9650E+03,6.2717E+00,-4.5081E+01,3.6439E-03,1.4512E-02,0.0000E+00,4.0000E+00,5.4603E-03,0.0000E+00,0.0000E+00,0.0000E+00
20,4.9500E+02,1.6050E+03,6.8250E+00,-5.8605E+01,4.1666E-03,2.7247E-02,0.0000E+00,4.0000E+00,5.8903E-03,0.0000E+00,0.0000E+00,0.0000E+00
21,5.1000E+02,1.7550E+03,6.2065E+00,-5.2385E+01,4.0209E-03,1.5354E-02,0.0000E+00,4.0000E+00,5.1248E-03,0.0000E+00,0.0000E+00,0.0000E+00
22,5.1000E+02,1.8000E+03,6.0096E+00,-5.0340E+01,4.2313E-03,1.8110E-02,0.0000E+00,4.0000E+00,6.1716E-03,0.0000E+00,0.0000E+00,0.0000E+00
23,5.1000E+02,1.9800E+03,5.6407E+00,-4.4053E+01,3.7869E-03,2.1840E-02,0.0000E+00,4.0000E+00,5.1683E-03,0.0000E+00,0.0000E+00,0.0000E+00
24,5.2500E+02,2.0550E+03,3.7294E+00,-3.9420E+01,3.8226E-03,2.0207E-02,0.0000E+00,4.0000E+00,5.0861E-03,0.0000E+00,0.0000E+00,0.0000E+00
25,5.2500E+02,1.8000E+03,5.7569E+00,-5.0288E+01,4.2782E-03,1.4091E-02,0.0000E+00,4.0000E+00,6.0915E-03,-1.6699E-02,4.5931E-02,-8.9138E-03
26,5.4000E+02,1.8150E+03,5.1773E+00,-4.9566E+01,4.1309E-03,1.7142E-02,0.0000E+00,4.0000E+00,6.6828E-03,-4.7740E-02,4.4381E-02,7.3814E-03
27,5.4000E+02,1.8300E+03,5.3319E+00,-4.8915E+01,3.8907E-03,1.1122E-02,0.0000E+00,4.0000E+00,6.1176E-03,0.0000E+00,0.0000E+00,0.0000E+00
28,5.4000E+02,1.8450E+03,5.3066E+00,-4.8566E+01,4.0182E-03,1.9968E-02,0.0000E+00,4.0000E+00,5.6776E-03,0.0000E+00,0.0000E+00,0.0000E+00
29,5.4000E+02,1.8900E+03,5.3385E+00,-4.6299E+01,3.7052E-03,2.0498E-02,0.0000E+00,4.0000E+00,5.0480E-03,0.0000E+00,0.0000E+00,0.0000E+00
30,5.4000E+02,2.0550E+03,3.5957E+00,-3.9347E+01,3.7053E-03,1.8175E-02,0.0000E+00,4.0000E+00,5.0246E-03,0.0000E+00,0.0000E+00,0.0000E+00
31,5.5500E+02,2.0100E+03,3.8198E+00,-4.1229E+01,3.9854E-03,2.3391E-02,0.0000E+00,4.0000E+00,5.1601E-03,0.0000E+00,0.0000E+00,0.0000E+00
32,5.7000E+02,1.8000E+03,4.8553E+00,-5.0212E+01,4.6853E-03,2.1298E-02,0.0000E+00,4.0000E+00,6.9325E-03,0.0000E+00,0.0000E+00,0.0000E+00
33,5.7000E+02,1.9050E+03,4.5423E+00,-4.5863E+01,4.4982E-03,1.7877E-02,0.0000E+00,4.0000E+00,7.1358E-03,0.0000E+00,0.0000E+00,0.0000E+00
34,5.7000E+02,2.0100E+03,3.7026E+00,-4.1170E+01,3.3905E-03,2.4828E-02,0.0000E+00,4.0000E+00,4.6929E-03,0.0000E+00,0.0000E+00,0.0000E+00
35,5.8500E+02,2.0100E+03,3.5558E+00,-4.0821E+01,4.4348E-03,1.5133E-02,0.0000E+00,4.0000E+00,7.4666E-03,0.0000E+00,0.0000E+00,0.0000E+00
36,6.0000E+02,2.0850E+03,1.9360E+00,-3.7302E+01,3.1956E-03,1.7044E-02,0.0000E+00,4.0000E+00,4.4303E-03,0.0000E+00,0.0000E+00,0.0000E+00
37,6.1500E+02,1.5900E+03,4.9271E+00,-5.8957E+01,4.3196E-03,2.2413E-02,0.0000E+00,4.0000E+00,5.9544E-03,0.0000E+00,0.0000E+00,0.0000E+00
38,6.3000E+02,1.8450E+03,3.7414E+00,-4.7643E+01,3.9827E-03,2.1161E-02,0.0000E+00,4.0000E+00,5.7769E-03,0.0000E+00,0.0000E+00,0.0000E+00
