SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,9.0000E+01,3.1050E+03,1.0167E+00,2.9386E-01,4.6677E-03,1.9127E-02,0.0000E+00,4.0000E+00,5.5905E-03,-2.6979E-02,-4.6327E-02,-6.2809E-03
1,9.0000E+01,3.1200E+03,1.0282E+00,-9.5272E-01,4.6341E-03,2.1188E-02,0.0000E+00,4.0000E+00,6.7010E-03,-2.5204E-02,-2.9472E-02,-8.0798E-04
2,1.0500E+02,3.1350E+03,8.1472E-01,-9.3249E-01,3.5110E-03,3.2887E-02,0.0000E+00,4.0000E+00,4.9601E-03,-1.4773E-02,-2.0065E-02,1.0050E-02
3,1.0500E+02,3.1200E+03,5.9973E-01,-6.1027E-01,4.0808E-03,1.5737E-02,0.0000E+00,4.0000E+00,6.0137E-03,-1.6773E-02,-2.7934E-02,5.4341E-03
4,1.0500E+02,3.1050E+03,6.2203E-01,-4.3324E-01,3.7530E-03,1.0840E-02,0.0000E+00,4.0000E+00,5.3218E-03,-1.5844E-02,-4.0237E-02,4.7107E-03
5,1.2000E+02,3.0600E+03,7.1157E-01,-4.3200E-01,4.8982E-03,6.0368E-02,0.0000E+00,4.0000E+00,7.2924E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,1.2000E+02,3.0750E+03,7.0385E-01,-4.1989E-01,5.3778E-03,4.2860E-02,0.0000E+00,4.0000E+00,8.1975E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,1.2000E+02,3.1200E+03,6.2587E-01,-3.5376E-01,5.0649E-03,5.4534E-02,0.0000E+00,4.0000E+00,7.6540E-03,5.2152E-04,-1.5203E-02,5.6967E-03
8,1.2000E+02,3.1350E+03,4.8848E-01,-6.5922E-01,5.2097E-03,2.4929E-02,0.0000E+00,4.0000E+00,7.4989E-03,-4.5856E-05,-1.8107E-02,4.4093E-03
9,1.3500E+02,3.1200E+03,7.5937E-01,-3.8266E-01,4.5412E-03,3.4979E-02,0.0000E+00,4.0000E+00,6.6607E-03,8.9412E-03,-2.0114E-02,-5.5642E-03
10,3.9000E+02,1.9050E+03,5.6173E+00,-3.4580E+01,3.7731E-03,1.1858E-02,0.0000E+00,4.0000E+00,5.3020E-03,6.3338E-03,3.6063E-02,-1.1906E-03
11,3.9000E+02,1.9200E+03,5.5170E+00,-3.4049E+01,3.4648E-03,8.8827E-03,0.0000E+00,4.0000E+00,4.5798E-03,-1.5123E-02,3.0826E-02,-6.7230E-03
12,3.9000E+02,1.9350E+03,5.5587E+00,-3.3558E+01,5.2242E-03,1.2563E-02,0.0000E+00,4.0000E+00,5.9525E-03,-1.8859E-02,2.4543E-02,-1.3374E-02
