SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,9.0000E+01,3.1050E+03,1.1257E+00,7.1918E-01,4.2956E-03,1.7386E-02,0.0000E+00,4.0000E+00,5.4930E-03,-2.6022E-02,-4.4158E-02,-7.1123E-03
1,9.0000E+01,3.1200E+03,1.1172E+00,-4.4220E-01,5.0390E-03,1.6780E-02,0.0000E+00,4.0000E+00,6.6350E-03,-2.4314E-02,-2.7557E-02,-1.7841E-03
2,1.0500E+02,3.1350E+03,9.3125E-01,-4.5721E-01,4.0862E-03,2.7096E-02,0.0000E+00,4.0000E+00,5.9868E-03,-1.4669E-02,-1.8359E-02,9.3158E-03
3,1.0500E+02,3.1200E+03,7.2967E-01,-1.8326E-01,4.4549E-03,1.4994E-02,0.0000E+00,4.0000E+00,6.1768E-03,-1.6783E-02,-2.6230E-02,4.4542E-03
4,1.0500E+02,3.1050E+03,7.1870E-01,1.0728E-02,4.3317E-03,1.1302E-02,0.0000E+00,4.0000E+00,5.6850E-03,-1.6386E-02,-3.8276E-02,3.3167E-03
5,1.2000E+02,3.0600E+03,9.1457E-01,7.0717E-02,4.9441E-03,6.8556E-02,0.0000E+00,4.0000E+00,7.5783E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,1.2000E+02,3.0750E+03,8.8683E-01,4.8280E-02,5.3948E-03,5.5452E-02,0.0000E+00,4.0000E+00,9.0454E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,1.2000E+02,3.1200E+03,7.0091E-01,4.0272E-02,5.1851E-03,4.4050E-02,0.0000E+00,4.0000E+00,7.8494E-03,-8.7071E-04,-1.4667E-02,5.5187E-03
8,1.2000E+02,3.1350E+03,6.4634E-01,-2.5573E-01,5.5326E-03,2.1566E-02,0.0000E+00,4.0000E+00,8.8690E-03,-1.1424E-03,-1.6749E-02,4.7609E-03
9,1.3500E+02,3.1200E+03,8.2811E-01,1.0380E-02,4.5677E-03,2.7937E-02,0.0000E+00,4.0000E+00,6.5765E-03,8.5175E-03,-1.9532E-02,-2.8113E-03
