SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,9.0000E+01,3.1050E+03,8.3649E-01,5.5507E-01,4.2797E-03,2.0623E-02,0.0000E+00,4.0000E+00,5.5027E-03,-3.0321E-02,-4.9652E-02,-8.2351E-03
1,9.0000E+01,3.1200E+03,8.2649E-01,-8.1580E-01,4.4056E-03,2.0013E-02,0.0000E+00,4.0000E+00,6.4290E-03,-2.8448E-02,-3.0810E-02,-2.2848E-03
2,1.0500E+02,3.1350E+03,5.6691E-01,-7.8181E-01,4.2064E-03,3.2561E-02,0.0000E+00,4.0000E+00,5.8917E-03,-1.4535E-02,-2.1330E-02,1.1507E-02
3,1.0500E+02,3.1200E+03,3.5413E-01,-4.5069E-01,4.5885E-03,1.6202E-02,0.0000E+00,4.0000E+00,6.8250E-03,-1.7259E-02,-2.9453E-02,5.4607E-03
4,1.0500E+02,3.1050E+03,3.8099E-01,-2.9304E-01,4.0538E-03,1.1143E-02,0.0000E+00,4.0000E+00,5.7957E-03,-1.7768E-02,-4.2733E-02,4.2357E-03
5,1.2000E+02,3.0600E+03,7.1552E-01,-2.7236E-01,4.8902E-03,5.6415E-02,0.0000E+00,4.0000E+00,7.4343E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,1.2000E+02,3.0750E+03,6.9441E-01,-2.6656E-01,5.1378E-03,4.4785E-02,0.0000E+00,4.0000E+00,8.2103E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,1.2000E+02,3.1200E+03,3.8132E-01,-1.7892E-01,5.3067E-03,5.0789E-02,0.0000E+00,4.0000E+00,8.0709E-03,2.0396E-03,-1.5392E-02,6.6205E-03
8,1.2000E+02,3.1350E+03,3.4319E-01,-5.2212E-01,5.2303E-03,2.4807E-02,0.0000E+00,4.0000E+00,7.4299E-03,2.3367E-03,-1.9562E-02,6.1306E-03
9,1.3500E+02,3.1200E+03,5.5180E-01,-2.2172E-01,4.2654E-03,3.4466E-02,0.0000E+00,4.0000E+00,6.2494E-03,1.1434E-02,-2.2615E-02,-2.6794E-03
10,3.9000E+02,1.9050E+03,7.0539E+00,-4.4156E+01,3.4658E-03,1.4400E-02,0.0000E+00,4.0000E+00,4.8714E-03,5.5492E-03,4.8059E-02,-1.1513E-03
11,3.9000E+02,1.9200E+03,6.9032E+00,-4.3452E+01,3.5032E-03,8.7648E-03,0.0000E+00,4.0000E+00,4.6296E-03,-2.6477E-02,4.1177E-02,-5.9570E-03
12,3.9000E+02,1.9350E+03,7.0922E+00,-4.2802E+01,5.2534E-03,1.5505E-02,0.0000E+00,4.0000E+00,5.9859E-03,-3.0658E-02,3.2971E-02,-1.3596E-02
13,4.0500E+02,2.0400E+03,6.0935E+00,-3.9129E+01,5.2963E-03,8.9312E-03,0.0000E+00,4.0000E+00,1.0390E-02,0.0000E+00,0.0000E+00,0.0000E+00
14,4.0500E+02,2.0250E+03,6.1782E+00,-4.0054E+01,4.2712E-03,1.3106E-02,0.0000E+00,4.0000E+00,6.9118E-03,0.0000E+00,0.0000E+00,0.0000E+00
15,4.0500E+02,1.9350E+03,6.0751E+00,-4.3026E+01,5.4312E-03,1.3617E-02,0.0000E+00,4.0000E+00,6.2568E-03,-1.7163E-02,3.2018E-02,-1.2777E-02
16,4.0500E+02,1.9200E+03,6.9858E+00,-4.3341E+01,4.0104E-03,8.2934E-03,0.0000E+00,4.0000E+00,5.2659E-03,-1.7163E-02,4.1177E-02,-8.7108E-03
17,4.2000E+02,1.4850E+03,7.7164E+00,-5.9522E+01,4.2916E-03,1.3600E-02,0.0000E+00,4.0000E+00,7.2700E-03,0.0000E+00,0.0000E+00,0.0000E+00
