SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,9.0000E+01,3.1050E+03,8.3735E-01,4.1506E-01,4.9960E-03,1.8790E-02,0.0000E+00,4.0000E+00,6.1973E-03,-2.8140E-02,-4.4658E-02,-6.8559E-03
1,9.0000E+01,3.1200E+03,8.1679E-01,-7.9149E-01,4.4229E-03,1.8849E-02,0.0000E+00,4.0000E+00,6.4371E-03,-2.6245E-02,-2.8337E-02,-1.2933E-03
2,1.0500E+02,3.1350E+03,5.7537E-01,-7.6423E-01,4.2343E-03,3.0918E-02,0.0000E+00,4.0000E+00,5.9407E-03,-1.5693E-02,-1.9456E-02,9.3379E-03
3,1.0500E+02,3.1200E+03,3.7618E-01,-4.5365E-01,4.2999E-03,1.4714E-02,0.0000E+00,4.0000E+00,6.3829E-03,-1.7780E-02,-2.6997E-02,4.5258E-03
4,1.0500E+02,3.1050E+03,4.1924E-01,-2.8907E-01,4.4961E-03,1.0172E-02,0.0000E+00,4.0000E+00,6.3704E-03,-1.7122E-02,-3.8922E-02,3.5842E-03
5,1.2000E+02,3.0600E+03,5.7485E-01,-2.5049E-01,4.9841E-03,6.4400E-02,0.0000E+00,4.0000E+00,7.5418E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,1.2000E+02,3.0750E+03,5.7569E-01,-2.3772E-01,5.6801E-03,5.0001E-02,0.0000E+00,4.0000E+00,9.0198E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,1.2000E+02,3.1200E+03,3.7754E-01,-2.2311E-01,5.4763E-03,5.1070E-02,0.0000E+00,4.0000E+00,8.2602E-03,1.0006E-03,-1.4441E-02,3.8296E-03
8,1.2000E+02,3.1350E+03,2.5478E-01,-5.2985E-01,6.0786E-03,2.7360E-02,0.0000E+00,4.0000E+00,8.3813E-03,6.9585E-04,-1.7580E-02,2.8152E-03
9,1.3500E+02,3.1200E+03,5.6165E-01,-3.0916E-01,4.6803E-03,3.7214E-02,0.0000E+00,4.0000E+00,6.8659E-03,1.2366E-02,-2.0207E-02,-6.9520E-03
10,3.9000E+02,1.9050E+03,5.8868E+00,-3.7590E+01,3.7936E-03,1.0488E-02,0.0000E+00,4.0000E+00,5.3335E-03,4.6868E-03,3.3761E-02,1.2735E-03
