SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,6.9104E-01,-4.7958E-01,4.2581E-03,8.0302E-03,0.0000E+00,4.0000E+00,5.9327E-03,-9.1592E-03,2.2310E-03,3.8829E-04
1,6.0000E+01,3.1200E+03,5.5299E-01,-5.0762E-01,5.1422E-03,1.4250E-02,0.0000E+00,4.0000E+00,7.5316E-03,-9.1592E-03,2.2310E-03,3.8829E-04
2,6.0000E+01,3.1350E+03,5.9311E-01,-4.7425E-01,5.1591E-03,1.4642E-02,0.0000E+00,4.0000E+00,7.4248E-03,-9.1592E-03,2.2310E-03,3.8829E-04
3,3.7500E+02,1.9050E+03,1.8311E+00,-2.6108E+01,4.4202E-03,1.3919E-02,0.0000E+00,4.0000E+00,5.6152E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,1.4111E+00,-2.4124E+01,4.4416E-03,1.8648E-02,0.0000E+00,4.0000E+00,6.4883E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,3.0482E-01,-2.3727E+01,5.4518E-03,1.2238E-02,0.0000E+00,4.0000E+00,9.1446E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,2.2376E-01,-2.3734E+01,5.2390E-03,1.0480E-02,0.0000E+00,4.0000E+00,9.0038E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,3.3239E-02,-2.4620E+01,4.3636E-03,1.3152E-02,0.0000E+00,4.0000E+00,6.5614E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,1.8132E-01,-4.7340E-01,3.9949E-03,5.7878E-02,0.0000E+00,4.0000E+00,6.1623E-03,4.2605E-02,2.1237E-03,7.7820E-03
9,1.0200E+03,3.0450E+03,4.1372E-01,-4.3222E-01,5.6740E-03,4.6554E-02,0.0000E+00,4.0000E+00,7.9050E-03,6.1170E-02,8.5942E-04,8.8073E-04
10,1.0200E+03,3.0600E+03,-2.1187E-01,-4.4482E-01,5.7013E-03,4.7499E-02,0.0000E+00,4.0000E+00,8.1919E-03,6.9144E-02,-2.2540E-04,-6.3899E-03
11,1.0350E+03,3.0600E+03,1.2093E+00,-4.0685E-01,9.8102E-03,1.9499E-02,0.0000E+00,4.0000E+00,1.6874E-02,3.8240E-02,1.2273E-03,-7.3016E-03
12,1.0350E+03,3.0450E+03,9.9965E-01,-4.0980E-01,9.1931E-03,2.1825E-02,0.0000E+00,4.0000E+00,1.5801E-02,3.8820E-02,8.5901E-04,1.0246E-03
13,1.0350E+03,3.0300E+03,8.4733E-01,-4.2981E-01,5.7653E-03,2.7797E-02,0.0000E+00,4.0000E+00,8.6397E-03,3.2421E-02,2.0859E-03,5.5203E-03
14,1.0500E+03,3.0300E+03,1.2439E+00,-4.1680E-01,6.9455E-03,2.1008E-02,0.0000E+00,4.0000E+00,1.1648E-02,1.7324E-02,2.3386E-03,2.7989E-03
15,1.0500E+03,3.0450E+03,1.2658E+00,-3.8604E-01,1.1442E-02,1.9536E-02,0.0000E+00,4.0000E+00,2.1671E-02,1.4288E-02,1.5644E-03,3.2444E-03
16,1.0500E+03,3.0600E+03,1.3018E+00,-3.9106E-01,1.0447E-02,2.1417E-02,0.0000E+00,4.0000E+00,1.6927E-02,5.9462E-03,2.2410E-03,-6.8828E-03
17,1.0500E+03,3.0750E+03,8.9945E-01,-3.3184E-01,8.6021E-03,1.6262E-02,0.0000E+00,4.0000E+00,1.4196E-02,-2.7982E-03,2.0081E-03,-8.7861E-03
18,1.0500E+03,3.0900E+03,8.5389E-01,-3.2351E-01,8.5513E-03,1.9203E-02,0.0000E+00,4.0000E+00,1.4591E-02,-1.8680E-02,4.3520E-05,2.6898E-04
19,1.0650E+03,3.0900E+03,5.7766E-01,-2.8504E-01,5.4753E-03,1.3918E-02,0.0000E+00,4.0000E+00,7.9013E-03,-1.8680E-02,4.3520E-05,2.6898E-04
20,1.0650E+03,3.0750E+03,6.0982E-01,-2.7792E-01,6.2758E-03,1.6180E-02,0.0000E+00,4.0000E+00,9.0034E-03,-9.1115E-03,2.1623E-03,-9.2669E-03
21,1.0650E+03,3.0600E+03,1.4556E+00,-3.3248E-01,1.1472E-02,2.2296E-02,0.0000E+00,4.0000E+00,1.7451E-02,1.2598E-03,2.6369E-03,-8.6974E-03
22,1.0650E+03,3.0450E+03,1.4582E+00,-3.6946E-01,1.2424E-02,1.8485E-02,0.0000E+00,4.0000E+00,2.2182E-02,1.1659E-02,1.9460E-03,1.5579E-03
23,1.0650E+03,3.0300E+03,1.4194E+00,-4.2331E-01,7.6294E-03,1.5854E-02,0.0000E+00,4.0000E+00,1.2496E-02,1.2337E-02,2.8263E-03,1.1925E-03
