SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,7.1274E-01,-5.0380E-01,4.5297E-03,9.5183E-03,0.0000E+00,4.0000E+00,6.3222E-03,-1.5033E-02,-4.4908E-03,4.2933E-03
1,6.0000E+01,3.1200E+03,4.8543E-01,-4.5266E-01,4.5144E-03,1.5715E-02,0.0000E+00,4.0000E+00,6.6146E-03,-1.5033E-02,-4.4908E-03,4.2933E-03
2,6.0000E+01,3.1350E+03,5.6453E-01,-5.2038E-01,4.3032E-03,1.3879E-02,0.0000E+00,4.0000E+00,6.1675E-03,-1.5033E-02,-4.4908E-03,4.2933E-03
3,3.7500E+02,1.9050E+03,4.4641E+00,-4.8194E+01,4.4146E-03,1.9445E-02,0.0000E+00,4.0000E+00,5.5832E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,3.5265E+00,-4.3229E+01,4.0748E-03,2.6597E-02,0.0000E+00,4.0000E+00,5.9923E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,5.3626E-01,-4.1848E+01,4.4761E-03,2.0016E-02,0.0000E+00,4.0000E+00,7.5079E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,2.6988E-01,-4.1948E+01,4.8814E-03,1.6847E-02,0.0000E+00,4.0000E+00,8.3794E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,-2.2727E-01,-4.4339E+01,3.5997E-03,2.1328E-02,0.0000E+00,4.0000E+00,5.4034E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,-3.9324E-01,-3.0665E-01,5.1541E-03,7.2426E-02,0.0000E+00,4.0000E+00,7.1391E-03,7.7043E-02,-1.4693E-04,1.4418E-02
9,1.0200E+03,3.0450E+03,2.4478E-01,-3.2248E-01,7.0571E-03,5.6564E-02,0.0000E+00,4.0000E+00,9.7746E-03,7.3559E-02,-1.9294E-03,8.8953E-03
10,1.0200E+03,3.0600E+03,-7.3971E-01,-3.6774E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
11,1.0350E+03,3.0600E+03,1.2802E+00,-3.8606E-01,1.0137E-02,2.0805E-02,0.0000E+00,4.0000E+00,1.7627E-02,2.8745E-02,-2.1734E-04,-4.7616E-03
12,1.0350E+03,3.0450E+03,1.1247E+00,-3.1546E-01,1.0174E-02,2.1614E-02,0.0000E+00,4.0000E+00,1.8768E-02,4.1904E-02,-2.3534E-03,6.0374E-03
13,1.0350E+03,3.0300E+03,9.5531E-01,-3.1601E-01,6.8973E-03,2.8723E-02,0.0000E+00,4.0000E+00,1.0636E-02,4.8200E-02,-2.9236E-05,9.2500E-03
14,1.0500E+03,3.0300E+03,1.3592E+00,-2.9807E-01,7.2300E-03,2.0728E-02,0.0000E+00,4.0000E+00,1.2418E-02,1.4865E-02,4.2842E-04,1.7167E-03
15,1.0500E+03,3.0450E+03,1.3178E+00,-2.9063E-01,1.0553E-02,1.9518E-02,0.0000E+00,4.0000E+00,2.0944E-02,1.0728E-02,-2.3435E-03,1.0060E-03
16,1.0500E+03,3.0600E+03,1.2598E+00,-3.7800E-01,9.1480E-03,2.4434E-02,0.0000E+00,4.0000E+00,1.4824E-02,6.6182E-04,7.3018E-04,-9.5379E-03
17,1.0500E+03,3.0750E+03,8.5795E-01,-2.6544E-01,8.5732E-03,1.7911E-02,0.0000E+00,4.0000E+00,1.4404E-02,-8.7661E-03,4.7482E-03,-1.1175E-02
18,1.0500E+03,3.0900E+03,6.9418E-01,-2.4215E-01,8.3708E-03,2.0400E-02,0.0000E+00,4.0000E+00,1.4444E-02,-2.5155E-02,1.3702E-03,-2.3271E-03
19,1.0650E+03,3.0900E+03,3.8064E-01,-2.2237E-01,5.3134E-03,1.6120E-02,0.0000E+00,4.0000E+00,7.5885E-03,-2.5155E-02,1.3702E-03,-2.3271E-03
20,1.0650E+03,3.0750E+03,4.0707E-01,-2.3955E-01,5.9825E-03,1.7649E-02,0.0000E+00,4.0000E+00,8.4226E-03,-1.4756E-02,4.7820E-03,-1.1856E-02
21,1.0650E+03,3.0600E+03,1.3552E+00,-3.5307E-01,9.7395E-03,2.8670E-02,0.0000E+00,4.0000E+00,1.4726E-02,-4.4416E-03,1.4293E-03,-1.1982E-02
22,1.0650E+03,3.0450E+03,1.4730E+00,-2.8068E-01,1.1205E-02,2.2296E-02,0.0000E+00,4.0000E+00,2.0463E-02,8.5644E-03,-2.3421E-03,-1.5317E-03
23,1.0650E+03,3.0300E+03,1.4924E+00,-2.9184E-01,7.5324E-03,1.9850E-02,0.0000E+00,4.0000E+00,1.2676E-02,9.6584E-03,6.2227E-04,-7.5225E-04
