SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,-3.8957E-14,7.0999E-15,4.8449E-03,1.7197E-28,0.0000E+00,4.0000E+00,6.3170E-03,2.1493E-15,2.9666E-15,-4.9725E-16
1,6.0000E+01,3.1200E+03,-6.7178E-15,-3.0321E-15,4.5996E-03,1.1936E-27,0.0000E+00,4.0000E+00,6.2645E-03,2.1493E-15,2.9666E-15,-4.9725E-16
2,6.0000E+01,3.1350E+03,-1.1503E-14,4.1467E-14,5.1125E-03,2.2720E-28,0.0000E+00,4.0000E+00,7.0853E-03,2.1493E-15,2.9666E-15,-4.9725E-16
3,3.7500E+02,1.9050E+03,2.2585E-14,-4.7101E-15,4.8617E-03,4.2992E-28,0.0000E+00,4.0000E+00,7.1344E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,-5.9786E-14,4.2721E-14,5.1396E-03,9.5633E-28,0.0000E+00,4.0000E+00,8.4012E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,2.6942E-14,1.3263E-14,4.6592E-03,4.3685E-28,0.0000E+00,4.0000E+00,5.5460E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,3.2829E-15,1.6451E-14,4.8498E-03,2.8193E-28,0.0000E+00,4.0000E+00,7.6138E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,-1.1421E-14,9.6262E-15,5.6701E-03,1.0449E-28,0.0000E+00,4.0000E+00,9.0495E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,7.7760E-15,-2.3919E-14,5.6067E-03,3.9710E-28,0.0000E+00,4.0000E+00,8.7304E-03,-1.6073E-15,1.1639E-15,-4.7876E-16
9,1.0200E+03,3.0450E+03,-1.1290E-14,-5.2523E-15,7.6000E-03,3.5351E-28,0.0000E+00,4.0000E+00,1.1079E-02,-3.2303E-15,3.5736E-15,7.3878E-16
10,1.0200E+03,3.0600E+03,8.1380E-14,8.1066E-14,6.6592E-03,1.1919E-27,0.0000E+00,4.0000E+00,9.3924E-03,-3.9098E-15,5.9834E-15,1.9047E-15
11,1.0350E+03,3.0600E+03,-1.5765E-14,8.7467E-14,9.6445E-03,8.8040E-28,0.0000E+00,4.0000E+00,1.1638E-02,-1.6809E-15,2.0787E-15,7.5743E-17
12,1.0350E+03,3.0450E+03,-3.1441E-14,-5.7162E-15,1.0484E-02,3.4250E-28,0.0000E+00,4.0000E+00,2.1469E-02,-1.0949E-15,3.5620E-15,5.8003E-16
13,1.0350E+03,3.0300E+03,-2.0291E-14,-2.1965E-14,7.8356E-03,3.9014E-28,0.0000E+00,4.0000E+00,1.1131E-02,-4.3169E-16,1.1759E-15,-2.9667E-16
14,1.0500E+03,3.0300E+03,-1.6615E-14,-2.3785E-14,7.4346E-03,3.4662E-28,0.0000E+00,4.0000E+00,9.9719E-03,-1.3221E-16,1.1982E-15,-1.7514E-16
15,1.0500E+03,3.0450E+03,-1.2800E-14,-5.7855E-15,1.0937E-02,3.3698E-28,0.0000E+00,4.0000E+00,2.0058E-02,-6.3299E-18,3.4963E-15,1.6726E-16
16,1.0500E+03,3.0600E+03,8.7437E-15,8.2381E-14,9.4723E-03,8.1809E-28,0.0000E+00,4.0000E+00,1.1735E-02,5.8532E-16,8.4488E-16,8.9413E-17
17,1.0500E+03,3.0750E+03,-2.8356E-14,3.7645E-15,9.7883E-03,1.3517E-28,0.0000E+00,4.0000E+00,1.7170E-02,1.8755E-15,-2.6992E-15,-7.5763E-17
18,1.0500E+03,3.0900E+03,-1.8729E-14,-1.7016E-16,1.0787E-02,7.2483E-28,0.0000E+00,4.0000E+00,2.0226E-02,5.3673E-15,-1.1630E-16,4.9992E-16
19,1.0650E+03,3.0900E+03,7.0478E-14,-1.3074E-15,6.0714E-03,4.3433E-28,0.0000E+00,4.0000E+00,9.2257E-03,5.3673E-15,-1.1630E-16,4.9992E-16
20,1.0650E+03,3.0750E+03,4.3455E-14,-1.7531E-15,6.7259E-03,9.1736E-29,0.0000E+00,4.0000E+00,1.0284E-02,3.1972E-15,-2.6177E-15,2.5249E-16
21,1.0650E+03,3.0600E+03,-8.4019E-15,7.3204E-14,9.5151E-03,5.7400E-28,0.0000E+00,4.0000E+00,1.2228E-02,7.7911E-16,2.3316E-16,3.3476E-16
22,1.0650E+03,3.0450E+03,-3.2406E-14,-6.1927E-15,1.1337E-02,3.4764E-28,0.0000E+00,4.0000E+00,2.1321E-02,-1.0532E-15,3.4205E-15,2.3890E-16
23,1.0650E+03,3.0300E+03,-2.7259E-14,-2.5863E-14,8.2638E-03,3.0090E-28,0.0000E+00,4.0000E+00,1.2275E-02,-1.0083E-15,1.2556E-15,-6.3616E-17
