SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,5.2419E-01,-3.0143E-01,4.7107E-03,1.0078E-02,0.0000E+00,4.0000E+00,6.4557E-03,-7.5130E-03,3.1078E-03,-8.9271E-04
1,6.0000E+01,3.1200E+03,4.1093E-01,-3.6475E-01,4.4226E-03,1.6142E-02,0.0000E+00,4.0000E+00,6.4725E-03,-7.5130E-03,3.1078E-03,-8.9271E-04
2,6.0000E+01,3.1350E+03,4.4795E-01,-3.1825E-01,4.2227E-03,1.4667E-02,0.0000E+00,4.0000E+00,6.0961E-03,-7.5130E-03,3.1078E-03,-8.9271E-04
3,3.7500E+02,1.9050E+03,3.9016E+00,-4.6339E+01,4.7754E-03,1.7967E-02,0.0000E+00,4.0000E+00,6.0494E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,3.0633E+00,-4.1687E+01,3.7160E-03,2.3917E-02,0.0000E+00,4.0000E+00,5.4519E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,3.5239E-01,-4.0572E+01,4.7003E-03,1.8391E-02,0.0000E+00,4.0000E+00,7.8704E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,5.6143E-02,-4.0579E+01,4.8515E-03,1.5367E-02,0.0000E+00,4.0000E+00,8.3112E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,-3.3251E-01,-4.2801E+01,4.0709E-03,2.0916E-02,0.0000E+00,4.0000E+00,6.1064E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,-5.5219E-01,-2.7090E-01,4.9164E-03,7.0276E-02,0.0000E+00,4.0000E+00,6.5465E-03,7.4267E-02,1.2239E-03,1.2453E-02
9,1.0200E+03,3.0450E+03,-3.3066E-02,-2.5989E-01,7.2817E-03,6.0011E-02,0.0000E+00,4.0000E+00,1.0052E-02,7.2458E-02,9.2125E-04,9.6883E-03
10,1.0200E+03,3.0600E+03,-9.3138E-01,-3.2052E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
11,1.0350E+03,3.0600E+03,1.1121E+00,-2.4877E-01,1.0951E-02,2.6359E-02,0.0000E+00,4.0000E+00,1.9464E-02,3.0269E-02,8.4453E-04,-5.6280E-03
12,1.0350E+03,3.0450E+03,8.6949E-01,-2.5402E-01,1.1632E-02,2.5584E-02,0.0000E+00,4.0000E+00,2.1323E-02,4.3116E-02,6.4836E-04,5.7663E-03
13,1.0350E+03,3.0300E+03,6.9615E-01,-2.7172E-01,7.9696E-03,3.1505E-02,0.0000E+00,4.0000E+00,1.2174E-02,4.9642E-02,1.4034E-03,7.4302E-03
14,1.0500E+03,3.0300E+03,1.2019E+00,-2.6217E-01,7.6658E-03,2.4786E-02,0.0000E+00,4.0000E+00,1.3170E-02,1.8625E-02,1.9185E-03,9.5784E-04
15,1.0500E+03,3.0450E+03,1.1209E+00,-2.3192E-01,1.2211E-02,2.4652E-02,0.0000E+00,4.0000E+00,2.4403E-02,1.3290E-02,9.2713E-04,1.1844E-03
16,1.0500E+03,3.0600E+03,1.0409E+00,-2.4889E-01,1.0525E-02,3.0637E-02,0.0000E+00,4.0000E+00,1.7335E-02,3.8498E-03,1.1031E-03,-9.1630E-03
17,1.0500E+03,3.0750E+03,5.6262E-01,-2.0543E-01,7.5206E-03,1.6331E-02,0.0000E+00,4.0000E+00,1.2426E-02,-4.9861E-03,1.5864E-03,-1.0414E-02
18,1.0500E+03,3.0900E+03,5.3279E-01,-1.9184E-01,8.3089E-03,1.9425E-02,0.0000E+00,4.0000E+00,1.4277E-02,-1.3660E-02,5.9419E-04,-3.7477E-04
19,1.0650E+03,3.0900E+03,3.1018E-01,-1.6242E-01,5.2527E-03,1.5335E-02,0.0000E+00,4.0000E+00,7.5534E-03,-1.3660E-02,5.9419E-04,-3.7477E-04
20,1.0650E+03,3.0750E+03,3.7250E-01,-1.6651E-01,5.6034E-03,1.6013E-02,0.0000E+00,4.0000E+00,8.0494E-03,-5.7719E-03,1.7614E-03,-1.0162E-02
21,1.0650E+03,3.0600E+03,1.1930E+00,-1.9486E-01,1.0935E-02,3.5862E-02,0.0000E+00,4.0000E+00,1.6833E-02,3.2110E-03,1.3701E-03,-1.1099E-02
22,1.0650E+03,3.0450E+03,1.3031E+00,-2.0372E-01,1.1902E-02,2.9001E-02,0.0000E+00,4.0000E+00,2.1975E-02,1.1225E-02,1.0234E-03,-1.7078E-03
23,1.0650E+03,3.0300E+03,1.3698E+00,-2.4201E-01,6.9752E-03,2.3825E-02,0.0000E+00,4.0000E+00,1.1791E-02,1.1741E-02,2.2993E-03,-1.6831E-03
