SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,8.7088E-01,-4.0306E-01,4.8281E-03,9.9119E-03,0.0000E+00,4.0000E+00,6.5131E-03,-1.2704E-02,-1.1266E-03,1.5714E-03
1,6.0000E+01,3.1200E+03,6.7909E-01,-4.1866E-01,5.0727E-03,1.6667E-02,0.0000E+00,4.0000E+00,7.3477E-03,-1.2704E-02,-1.1266E-03,1.5714E-03
2,6.0000E+01,3.1350E+03,7.4262E-01,-4.3570E-01,5.4070E-03,1.4938E-02,0.0000E+00,4.0000E+00,7.8393E-03,-1.2704E-02,-1.1266E-03,1.5714E-03
3,3.7500E+02,1.9050E+03,2.3582E+00,-3.1758E+01,3.7906E-03,1.3634E-02,0.0000E+00,4.0000E+00,4.8114E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,1.8530E+00,-2.9156E+01,4.6979E-03,1.7309E-02,0.0000E+00,4.0000E+00,6.8728E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,4.0492E-01,-2.8538E+01,5.1518E-03,9.8845E-03,0.0000E+00,4.0000E+00,8.6463E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,2.3964E-01,-2.8565E+01,5.9192E-03,9.5090E-03,0.0000E+00,4.0000E+00,1.0169E-02,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,1.2951E-02,-2.9747E+01,4.3850E-03,1.3809E-02,0.0000E+00,4.0000E+00,6.5920E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,3.5387E-01,-4.0862E-01,4.5640E-03,6.2976E-02,0.0000E+00,4.0000E+00,6.5179E-03,4.8638E-02,2.0794E-03,9.1909E-03
9,1.0200E+03,3.0450E+03,6.4994E-01,-3.6123E-01,5.8971E-03,4.7558E-02,0.0000E+00,4.0000E+00,8.3695E-03,6.8504E-02,-8.3021E-04,-8.4571E-05
10,1.0200E+03,3.0600E+03,-1.3669E-01,-4.3110E-01,5.7940E-03,5.1727E-02,0.0000E+00,4.0000E+00,8.3762E-03,7.5637E-02,-3.4114E-03,-9.9309E-03
11,1.0350E+03,3.0600E+03,1.4217E+00,-3.6737E-01,1.0042E-02,1.9098E-02,0.0000E+00,4.0000E+00,1.7684E-02,3.7386E-02,-4.1853E-04,-8.9944E-03
12,1.0350E+03,3.0450E+03,1.2806E+00,-3.2776E-01,1.0319E-02,2.1299E-02,0.0000E+00,4.0000E+00,1.9287E-02,3.7507E-02,-1.2303E-03,-3.9792E-04
13,1.0350E+03,3.0300E+03,1.1483E+00,-3.3963E-01,7.1926E-03,2.9916E-02,0.0000E+00,4.0000E+00,1.1150E-02,3.0270E-02,1.5764E-03,5.9753E-03
14,1.0500E+03,3.0300E+03,1.3930E+00,-3.3036E-01,7.1468E-03,2.3425E-02,0.0000E+00,4.0000E+00,1.2236E-02,1.2137E-02,9.8790E-04,1.9095E-03
15,1.0500E+03,3.0450E+03,1.4002E+00,-3.2085E-01,1.1175E-02,1.9963E-02,0.0000E+00,4.0000E+00,2.2077E-02,8.9993E-03,-1.2101E-03,1.2813E-03
16,1.0500E+03,3.0600E+03,1.3884E+00,-3.9121E-01,9.8732E-03,2.1751E-02,0.0000E+00,4.0000E+00,1.6079E-02,1.3848E-03,1.1068E-03,-8.1181E-03
17,1.0500E+03,3.0750E+03,1.0287E+00,-2.8819E-01,7.5651E-03,1.6252E-02,0.0000E+00,4.0000E+00,1.2817E-02,-6.5988E-03,4.0156E-03,-9.7434E-03
18,1.0500E+03,3.0900E+03,9.4154E-01,-2.6291E-01,8.0853E-03,1.7605E-02,0.0000E+00,4.0000E+00,1.4304E-02,-1.9931E-02,1.2406E-03,-1.6892E-03
19,1.0650E+03,3.0900E+03,6.5338E-01,-2.4866E-01,5.8304E-03,1.5176E-02,0.0000E+00,4.0000E+00,8.5292E-03,-1.9931E-02,1.2406E-03,-1.6892E-03
20,1.0650E+03,3.0750E+03,7.1280E-01,-2.6021E-01,6.0703E-03,1.7032E-02,0.0000E+00,4.0000E+00,8.8326E-03,-1.0789E-02,4.2170E-03,-9.8644E-03
21,1.0650E+03,3.0600E+03,1.5042E+00,-3.5887E-01,1.0452E-02,2.5607E-02,0.0000E+00,4.0000E+00,1.5869E-02,-3.0735E-04,1.6819E-03,-9.6420E-03
22,1.0650E+03,3.0450E+03,1.5864E+00,-3.1548E-01,1.1162E-02,2.1423E-02,0.0000E+00,4.0000E+00,2.0328E-02,1.0619E-02,-1.3563E-03,-2.3158E-04
23,1.0650E+03,3.0300E+03,1.5663E+00,-3.3824E-01,6.4016E-03,1.9230E-02,0.0000E+00,4.0000E+00,1.0719E-02,1.2056E-02,1.0770E-03,4.1840E-04
