SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,6.3544E-01,-3.7612E-01,4.8046E-03,9.1483E-03,0.0000E+00,4.0000E+00,6.6000E-03,-4.1038E-03,3.1525E-03,-9.9975E-04
1,6.0000E+01,3.1200E+03,5.7367E-01,-4.2846E-01,5.3436E-03,1.5876E-02,0.0000E+00,4.0000E+00,7.7845E-03,-4.1038E-03,3.1525E-03,-9.9975E-04
2,6.0000E+01,3.1350E+03,5.9626E-01,-3.8126E-01,5.4347E-03,1.6877E-02,0.0000E+00,4.0000E+00,7.8653E-03,-4.1038E-03,3.1525E-03,-9.9975E-04
3,3.7500E+02,1.9050E+03,8.4061E-01,-1.0146E+01,4.5843E-03,1.0333E-02,0.0000E+00,4.0000E+00,5.8090E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,7.0213E-01,-9.4975E+00,4.2089E-03,1.5674E-02,0.0000E+00,4.0000E+00,6.1759E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,2.9916E-01,-9.2953E+00,4.5077E-03,9.3978E-03,0.0000E+00,4.0000E+00,7.6212E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,2.5533E-01,-9.3148E+00,4.7783E-03,8.2415E-03,0.0000E+00,4.0000E+00,8.2697E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,1.7722E-01,-9.5915E+00,4.5821E-03,1.0034E-02,0.0000E+00,4.0000E+00,6.9212E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,1.6508E-01,-3.4123E-01,4.8873E-03,5.3744E-02,0.0000E+00,4.0000E+00,7.4104E-03,3.8849E-02,1.5716E-03,7.9192E-03
9,1.0200E+03,3.0450E+03,4.4404E-01,-3.0807E-01,7.6431E-03,4.0653E-02,0.0000E+00,4.0000E+00,1.0778E-02,4.9357E-02,1.3387E-03,4.0195E-03
10,1.0200E+03,3.0600E+03,1.9205E-01,-2.7216E-01,7.7543E-03,4.4944E-02,0.0000E+00,4.0000E+00,1.1120E-02,5.2127E-02,1.1486E-03,1.3676E-04
11,1.0350E+03,3.0600E+03,1.2172E+00,-2.9794E-01,1.1909E-02,2.5964E-02,0.0000E+00,4.0000E+00,2.1051E-02,2.1393E-02,1.4864E-03,-4.4547E-03
12,1.0350E+03,3.0450E+03,9.4391E-01,-2.9646E-01,1.1695E-02,2.6397E-02,0.0000E+00,4.0000E+00,2.1183E-02,2.7007E-02,1.1824E-03,1.4598E-03
13,1.0350E+03,3.0300E+03,8.0885E-01,-3.0756E-01,7.2813E-03,3.0436E-02,0.0000E+00,4.0000E+00,1.1141E-02,2.7912E-02,1.6229E-03,4.0060E-03
14,1.0500E+03,3.0300E+03,1.1894E+00,-3.0123E-01,6.8823E-03,2.4324E-02,0.0000E+00,4.0000E+00,1.1747E-02,1.4384E-02,2.1542E-03,-4.7686E-04
15,1.0500E+03,3.0450E+03,1.0717E+00,-2.7350E-01,1.1222E-02,2.5605E-02,0.0000E+00,4.0000E+00,2.1862E-02,8.8461E-03,1.8073E-03,5.9912E-04
16,1.0500E+03,3.0600E+03,9.3879E-01,-2.7376E-01,1.0627E-02,3.1307E-02,0.0000E+00,4.0000E+00,1.7260E-02,1.0131E-03,1.1273E-03,-5.0524E-03
17,1.0500E+03,3.0750E+03,7.8498E-01,-2.3184E-01,7.5729E-03,1.4357E-02,0.0000E+00,4.0000E+00,1.2775E-02,-7.8252E-03,8.6266E-04,-4.3545E-03
18,1.0500E+03,3.0900E+03,8.6054E-01,-2.1298E-01,7.6733E-03,1.5697E-02,0.0000E+00,4.0000E+00,1.3719E-02,-1.4768E-02,1.2310E-03,1.1717E-03
19,1.0650E+03,3.0900E+03,5.8971E-01,-2.0577E-01,5.3042E-03,1.3381E-02,0.0000E+00,4.0000E+00,7.7895E-03,-1.4768E-02,1.2310E-03,1.1717E-03
20,1.0650E+03,3.0750E+03,6.0945E-01,-2.2377E-01,6.0535E-03,1.5426E-02,0.0000E+00,4.0000E+00,8.8051E-03,-5.1463E-03,7.7523E-04,-4.1945E-03
21,1.0650E+03,3.0600E+03,1.1529E+00,-1.8806E-01,1.1002E-02,3.6213E-02,0.0000E+00,4.0000E+00,1.6937E-02,5.1016E-03,1.3469E-03,-6.6239E-03
22,1.0650E+03,3.0450E+03,1.2620E+00,-2.5553E-01,1.1633E-02,2.7630E-02,0.0000E+00,4.0000E+00,2.1160E-02,1.2585E-02,2.5788E-03,-2.7393E-03
23,1.0650E+03,3.0300E+03,1.3477E+00,-3.1347E-01,6.7155E-03,1.8048E-02,0.0000E+00,4.0000E+00,1.1197E-02,1.1689E-02,2.8831E-03,-3.3324E-03
