SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,6.8106E-01,-3.8727E-01,4.6755E-03,9.3280E-03,0.0000E+00,4.0000E+00,6.4017E-03,-1.0426E-02,-2.2538E-03,1.0604E-03
1,6.0000E+01,3.1200E+03,5.2382E-01,-4.1655E-01,5.1057E-03,1.4826E-02,0.0000E+00,4.0000E+00,7.4510E-03,-1.0426E-02,-2.2538E-03,1.0604E-03
2,6.0000E+01,3.1350E+03,5.8549E-01,-4.5052E-01,4.9300E-03,1.4396E-02,0.0000E+00,4.0000E+00,7.1025E-03,-1.0426E-02,-2.2538E-03,1.0604E-03
3,3.7500E+02,1.9050E+03,3.4052E+00,-4.2008E+01,4.1486E-03,1.5530E-02,0.0000E+00,4.0000E+00,5.2586E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,2.5747E+00,-3.8210E+01,4.1905E-03,2.0781E-02,0.0000E+00,4.0000E+00,6.1373E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,3.6122E-01,-3.7345E+01,5.2639E-03,1.4813E-02,0.0000E+00,4.0000E+00,8.8178E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,1.5911E-01,-3.7421E+01,5.5500E-03,1.2358E-02,0.0000E+00,4.0000E+00,9.5188E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,-2.0247E-01,-3.9096E+01,3.8224E-03,1.8636E-02,0.0000E+00,4.0000E+00,5.7377E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,-3.4312E-01,-3.6173E-01,4.1081E-03,7.3498E-02,0.0000E+00,4.0000E+00,5.8835E-03,7.2981E-02,1.1796E-03,1.3652E-02
9,1.0200E+03,3.0450E+03,2.2423E-01,-3.4237E-01,6.1752E-03,5.9954E-02,0.0000E+00,4.0000E+00,8.5272E-03,7.0189E-02,-1.7396E-04,9.2380E-03
10,1.0200E+03,3.0600E+03,-6.5073E-01,-1.0975E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
11,1.0350E+03,3.0600E+03,1.2358E+00,-3.4654E-01,1.1396E-02,2.9452E-02,0.0000E+00,4.0000E+00,1.9942E-02,2.4536E-02,9.5527E-04,-3.8249E-03
12,1.0350E+03,3.0450E+03,1.0686E+00,-3.1801E-01,1.0920E-02,3.0705E-02,0.0000E+00,4.0000E+00,1.9958E-02,3.8226E-02,-7.1232E-04,5.4477E-03
13,1.0350E+03,3.0300E+03,9.2730E-01,-3.2566E-01,6.5242E-03,3.9366E-02,0.0000E+00,4.0000E+00,1.0028E-02,4.4656E-02,9.7276E-04,7.7594E-03
14,1.0500E+03,3.0300E+03,1.3106E+00,-3.0393E-01,6.9888E-03,2.7189E-02,0.0000E+00,4.0000E+00,1.1977E-02,1.4303E-02,9.9886E-04,4.1665E-05
15,1.0500E+03,3.0450E+03,1.1925E+00,-2.9106E-01,1.1314E-02,2.6045E-02,0.0000E+00,4.0000E+00,2.2174E-02,1.0233E-02,-7.3495E-04,2.8812E-04
16,1.0500E+03,3.0600E+03,1.1173E+00,-3.4625E-01,1.0499E-02,3.0234E-02,0.0000E+00,4.0000E+00,1.6966E-02,1.1997E-03,1.8454E-03,-8.5775E-03
17,1.0500E+03,3.0750E+03,7.7859E-01,-2.4244E-01,8.7435E-03,1.8288E-02,0.0000E+00,4.0000E+00,1.4681E-02,-6.7814E-03,4.0494E-03,-1.0051E-02
18,1.0500E+03,3.0900E+03,6.4946E-01,-2.2587E-01,9.3943E-03,2.0298E-02,0.0000E+00,4.0000E+00,1.6217E-02,-1.8946E-02,8.3609E-04,-1.5489E-03
19,1.0650E+03,3.0900E+03,4.0948E-01,-1.9606E-01,6.0199E-03,1.5748E-02,0.0000E+00,4.0000E+00,8.7023E-03,-1.8946E-02,8.3609E-04,-1.5489E-03
20,1.0650E+03,3.0750E+03,4.4462E-01,-2.0411E-01,6.3467E-03,1.7718E-02,0.0000E+00,4.0000E+00,9.1007E-03,-8.6557E-03,4.1654E-03,-1.0053E-02
21,1.0650E+03,3.0600E+03,1.2999E+00,-3.0977E-01,1.0801E-02,3.1504E-02,0.0000E+00,4.0000E+00,1.6401E-02,1.1177E-03,2.3755E-03,-1.0444E-02
22,1.0650E+03,3.0450E+03,1.3941E+00,-2.8240E-01,1.1953E-02,2.4793E-02,0.0000E+00,4.0000E+00,2.1740E-02,1.1793E-02,-7.3796E-04,-2.4593E-03
23,1.0650E+03,3.0300E+03,1.4540E+00,-3.0678E-01,7.5718E-03,2.0551E-02,0.0000E+00,4.0000E+00,1.2694E-02,1.1565E-02,1.2604E-03,-2.9033E-03
