SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,7.3742E-01,-4.6893E-01,4.6739E-03,9.3201E-03,0.0000E+00,4.0000E+00,6.4601E-03,-1.0724E-02,-7.7743E-04,-8.0888E-05
1,6.0000E+01,3.1200E+03,5.7559E-01,-5.2437E-01,4.6593E-03,1.5894E-02,0.0000E+00,4.0000E+00,6.8232E-03,-1.0724E-02,-7.7743E-04,-8.0888E-05
2,6.0000E+01,3.1350E+03,6.2914E-01,-5.3613E-01,4.6066E-03,1.6044E-02,0.0000E+00,4.0000E+00,6.6176E-03,-1.0724E-02,-7.7743E-04,-8.0888E-05
3,3.7500E+02,1.9050E+03,2.7076E+00,-3.7125E+01,4.2490E-03,1.3816E-02,0.0000E+00,4.0000E+00,5.3947E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,2.0309E+00,-3.3922E+01,4.3943E-03,2.0788E-02,0.0000E+00,4.0000E+00,6.4218E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,2.8317E-01,-3.3214E+01,4.9766E-03,1.1680E-02,0.0000E+00,4.0000E+00,8.3325E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,1.1532E-01,-3.3313E+01,5.4219E-03,9.8054E-03,0.0000E+00,4.0000E+00,9.2962E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,-1.9516E-01,-3.4746E+01,3.9609E-03,1.5456E-02,0.0000E+00,4.0000E+00,5.9449E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,-9.4338E-02,-3.7772E-01,4.7079E-03,6.8683E-02,0.0000E+00,4.0000E+00,7.4700E-03,6.0070E-02,9.2134E-04,1.1319E-02
9,1.0200E+03,3.0450E+03,3.6746E-01,-3.6232E-01,6.6228E-03,5.3485E-02,0.0000E+00,4.0000E+00,9.2420E-03,5.8428E-02,-1.0014E-03,8.5363E-03
10,1.0200E+03,3.0600E+03,-3.6272E-01,-1.6496E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
11,1.0350E+03,3.0600E+03,1.3070E+00,-4.1485E-01,1.1254E-02,2.6918E-02,0.0000E+00,4.0000E+00,1.9475E-02,2.4347E-02,2.8282E-04,-4.3206E-03
12,1.0350E+03,3.0450E+03,1.0942E+00,-3.5895E-01,1.0997E-02,2.7387E-02,0.0000E+00,4.0000E+00,1.9767E-02,3.4741E-02,-1.6444E-03,5.6644E-03
13,1.0350E+03,3.0300E+03,9.2988E-01,-3.6464E-01,6.6474E-03,3.4118E-02,0.0000E+00,4.0000E+00,1.0151E-02,3.9968E-02,7.6753E-04,7.3253E-03
14,1.0500E+03,3.0300E+03,1.3300E+00,-3.4488E-01,7.1002E-03,2.3457E-02,0.0000E+00,4.0000E+00,1.2105E-02,1.6240E-02,8.9933E-04,2.0085E-03
15,1.0500E+03,3.0450E+03,1.2951E+00,-3.3533E-01,1.1520E-02,2.4304E-02,0.0000E+00,4.0000E+00,2.2396E-02,1.1886E-02,-1.5009E-03,1.9752E-03
16,1.0500E+03,3.0600E+03,1.2562E+00,-4.1448E-01,1.0641E-02,2.9705E-02,0.0000E+00,4.0000E+00,1.7100E-02,2.0329E-03,8.6186E-04,-8.7778E-03
17,1.0500E+03,3.0750E+03,8.4568E-01,-2.9834E-01,7.4211E-03,1.7990E-02,0.0000E+00,4.0000E+00,1.2308E-02,-8.1532E-03,3.6187E-03,-9.5899E-03
18,1.0500E+03,3.0900E+03,8.1701E-01,-2.8565E-01,7.5574E-03,2.0792E-02,0.0000E+00,4.0000E+00,1.3037E-02,-2.3681E-02,3.3063E-04,4.3578E-04
19,1.0650E+03,3.0900E+03,4.7951E-01,-2.7385E-01,5.4459E-03,1.7070E-02,0.0000E+00,4.0000E+00,7.7890E-03,-2.3681E-02,3.3063E-04,4.3578E-04
20,1.0650E+03,3.0750E+03,4.6410E-01,-2.7107E-01,5.9863E-03,1.8627E-02,0.0000E+00,4.0000E+00,8.4328E-03,-1.2615E-02,3.6655E-03,-1.0054E-02
21,1.0650E+03,3.0600E+03,1.4039E+00,-3.4911E-01,1.0798E-02,2.8435E-02,0.0000E+00,4.0000E+00,1.6364E-02,-8.7477E-04,1.5422E-03,-1.0949E-02
22,1.0650E+03,3.0450E+03,1.4894E+00,-3.0845E-01,1.1380E-02,2.1605E-02,0.0000E+00,4.0000E+00,2.0666E-02,1.1474E-02,-1.4151E-03,-2.9336E-04
23,1.0650E+03,3.0300E+03,1.5012E+00,-3.3351E-01,6.7320E-03,1.7014E-02,0.0000E+00,4.0000E+00,1.1254E-02,1.2262E-02,1.1553E-03,-1.5044E-04
