SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,6.3947E-02,-1.7980E-01,4.5364E-03,8.7847E-03,0.0000E+00,4.0000E+00,7.1158E-03,-2.0381E-03,5.4023E-03,-2.6499E-03
1,6.0000E+01,3.1200E+03,3.3157E-02,-2.5466E-01,4.8195E-03,1.6279E-02,0.0000E+00,4.0000E+00,7.0093E-03,-2.0381E-03,5.4023E-03,-2.6499E-03
2,6.0000E+01,3.1350E+03,2.8918E-02,-1.7385E-01,5.0534E-03,1.4496E-02,0.0000E+00,4.0000E+00,6.9715E-03,-2.0381E-03,5.4023E-03,-2.6499E-03
3,3.7500E+02,1.9050E+03,1.6844E-01,-3.3989E+00,4.7513E-03,1.0337E-02,0.0000E+00,4.0000E+00,6.0618E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,6.6021E-02,-3.1642E+00,6.0360E-03,1.7966E-02,0.0000E+00,4.0000E+00,8.7226E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,-5.4712E-02,-3.1635E+00,5.2197E-03,9.9621E-03,0.0000E+00,4.0000E+00,8.6447E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,-8.6899E-02,-3.1602E+00,5.4951E-03,9.3650E-03,0.0000E+00,4.0000E+00,9.3036E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,-1.7651E-01,-3.1928E+00,4.4678E-03,1.0022E-02,0.0000E+00,4.0000E+00,6.6170E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,-1.4523E-01,-8.5433E-02,5.2058E-03,2.7305E-02,0.0000E+00,4.0000E+00,7.0246E-03,2.3036E-02,2.8456E-04,3.5503E-03
9,1.0200E+03,3.0450E+03,-5.0903E-02,-7.6419E-02,6.9337E-03,2.1699E-02,0.0000E+00,4.0000E+00,9.8217E-03,2.9431E-02,-2.2383E-04,9.1509E-04
10,1.0200E+03,3.0600E+03,-2.9517E-01,-9.4231E-02,6.5183E-03,2.4591E-02,0.0000E+00,4.0000E+00,9.0084E-03,3.1770E-02,-7.0343E-04,-1.8734E-03
11,1.0350E+03,3.0600E+03,3.2691E-01,-4.9216E-02,9.7865E-03,1.8562E-02,0.0000E+00,4.0000E+00,1.7677E-02,1.3949E-02,-7.3652E-04,-1.5070E-03
12,1.0350E+03,3.0450E+03,2.6534E-01,-4.5361E-02,9.1803E-03,1.4957E-02,0.0000E+00,4.0000E+00,1.7901E-02,1.3159E-02,9.5106E-06,7.7256E-04
13,1.0350E+03,3.0300E+03,2.2174E-01,-4.4566E-02,6.3829E-03,1.6558E-02,0.0000E+00,4.0000E+00,1.0022E-02,1.1086E-02,5.0132E-04,3.0439E-03
14,1.0500E+03,3.0300E+03,2.0224E-01,-3.9235E-02,6.6011E-03,1.5191E-02,0.0000E+00,4.0000E+00,1.1385E-02,-1.6046E-03,6.5481E-04,1.1387E-03
15,1.0500E+03,3.0450E+03,2.6308E-01,-2.5338E-02,1.0316E-02,1.4069E-02,0.0000E+00,4.0000E+00,2.1610E-02,-3.1035E-03,2.6808E-04,4.8687E-04
16,1.0500E+03,3.0600E+03,2.1986E-01,-2.4935E-02,1.0073E-02,1.7431E-02,0.0000E+00,4.0000E+00,1.7065E-02,-5.0856E-03,1.2650E-04,-5.7235E-04
17,1.0500E+03,3.0750E+03,2.2186E-01,-4.5205E-02,8.5785E-03,1.4663E-02,0.0000E+00,4.0000E+00,1.4826E-02,-9.3133E-03,4.7611E-05,1.2872E-03
18,1.0500E+03,3.0900E+03,3.5334E-01,-4.2796E-02,8.6429E-03,1.6519E-02,0.0000E+00,4.0000E+00,1.5980E-02,-1.4767E-02,-1.1276E-04,3.3441E-03
19,1.0650E+03,3.0900E+03,6.4111E-02,-1.1197E-02,5.8378E-03,1.2072E-02,0.0000E+00,4.0000E+00,8.7486E-03,-1.4767E-02,-1.1276E-04,3.3441E-03
20,1.0650E+03,3.0750E+03,6.4670E-02,-5.1197E-03,6.8062E-03,1.3191E-02,0.0000E+00,4.0000E+00,1.0354E-02,-1.1549E-02,1.0648E-04,1.1255E-03
21,1.0650E+03,3.0600E+03,1.4351E-01,-3.5423E-02,9.7535E-03,1.8367E-02,0.0000E+00,4.0000E+00,1.4786E-02,-6.7450E-03,1.4790E-04,-1.1586E-03
22,1.0650E+03,3.0450E+03,1.9205E-01,-3.3622E-02,1.0104E-02,1.5926E-02,0.0000E+00,4.0000E+00,1.8546E-02,-3.3483E-03,4.7946E-04,-6.3879E-04
23,1.0650E+03,3.0300E+03,1.9867E-01,-4.9871E-02,6.5512E-03,1.6149E-02,0.0000E+00,4.0000E+00,1.0870E-02,-2.4831E-03,1.0070E-03,5.8568E-04
