SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,4.8714E+00,2.8830E+00,3.5783E-03,1.5019E-01,0.0000E+00,4.0000E+00,4.9177E-03,-1.1056E-03,-4.2194E-03,-4.4694E-03
1,3.0000E+01,4.5000E+01,4.6680E+00,2.7966E+00,4.2353E-03,4.6380E-02,0.0000E+00,4.0000E+00,5.8614E-03,-9.1327E-04,-5.6632E-03,-3.1144E-03
2,3.0000E+01,6.0000E+01,4.6031E+00,2.7005E+00,5.6320E-03,3.3645E-02,0.0000E+00,4.0000E+00,7.6684E-03,1.8132E-03,-8.1466E-03,-1.3128E-03
3,3.0000E+01,7.5000E+01,4.4999E+00,2.5630E+00,5.2039E-03,2.4320E-02,0.0000E+00,4.0000E+00,6.9816E-03,2.2212E-03,-8.8636E-03,-4.7213E-04
4,3.0000E+01,9.0000E+01,4.4783E+00,2.4208E+00,4.7657E-03,3.4702E-02,0.0000E+00,4.0000E+00,6.4018E-03,3.0312E-03,-8.6108E-03,-1.6728E-04
5,3.0000E+01,1.0500E+02,4.4238E+00,2.2921E+00,5.2405E-03,3.8991E-02,0.0000E+00,4.0000E+00,7.1645E-03,2.5589E-03,-8.8313E-03,-3.2762E-04
6,3.0000E+01,1.2000E+02,4.3522E+00,2.1517E+00,6.0779E-03,2.2876E-02,0.0000E+00,4.0000E+00,8.2054E-03,1.3309E-03,-7.1796E-03,-3.1423E-04
7,3.0000E+01,1.3500E+02,4.3487E+00,2.0959E+00,5.2866E-03,2.0916E-02,0.0000E+00,4.0000E+00,6.9881E-03,-1.3343E-04,-8.2458E-03,6.5274E-04
8,3.0000E+01,1.5000E+02,4.3652E+00,1.9158E+00,4.3738E-03,3.2686E-02,0.0000E+00,4.0000E+00,6.0042E-03,-1.5672E-03,-9.2893E-03,-9.3311E-04
9,3.0000E+01,1.6500E+02,4.2681E+00,1.8193E+00,4.6611E-03,2.3338E-02,0.0000E+00,4.0000E+00,6.6485E-03,9.6675E-04,-9.1330E-03,-2.9859E-03
10,3.0000E+01,1.8000E+02,4.0587E+00,1.6302E+00,4.6135E-03,1.7858E-02,0.0000E+00,4.0000E+00,6.5528E-03,1.0065E-03,-7.9333E-03,9.8032E-04
11,3.0000E+01,1.9500E+02,4.2579E+00,1.5502E+00,3.8679E-03,1.5593E-02,0.0000E+00,4.0000E+00,5.2445E-03,1.1697E-03,-3.7314E-03,3.7269E-03
12,3.0000E+01,2.1000E+02,4.2492E+00,1.5329E+00,5.2543E-03,2.3845E-02,0.0000E+00,4.0000E+00,6.9377E-03,-5.2576E-04,-5.4156E-03,-5.9506E-04
