SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,6.8664E+00,-3.5494E+01,2.8155E-02,3.0334E-02,0.0000E+00,4.0000E+00,4.3060E-02,2.6208E-03,1.3240E-02,2.7900E-03
1,3.0000E+01,4.5000E+01,6.9752E+00,-3.5275E+01,6.4550E-03,3.7897E-02,0.0000E+00,4.0000E+00,9.7338E-03,1.3805E-03,1.2163E-02,2.1374E-03
2,3.0000E+01,6.0000E+01,7.0186E+00,-3.5114E+01,5.8148E-03,2.9195E-02,0.0000E+00,4.0000E+00,8.9697E-03,-1.5890E-03,1.5468E-02,1.2509E-03
3,3.0000E+01,7.5000E+01,7.1551E+00,-3.4760E+01,5.5577E-03,2.5549E-02,0.0000E+00,4.0000E+00,8.7180E-03,-2.0795E-03,1.7979E-02,3.4538E-03
4,3.0000E+01,9.0000E+01,7.3502E+00,-3.4547E+01,5.5018E-03,2.5359E-02,0.0000E+00,4.0000E+00,8.5853E-03,-1.3271E-03,1.4430E-02,3.1843E-03
5,3.0000E+01,1.0500E+02,7.4230E+00,-3.4397E+01,6.0444E-03,2.3723E-02,0.0000E+00,4.0000E+00,9.2447E-03,2.2695E-05,1.4476E-02,2.9172E-03
6,3.0000E+01,1.2000E+02,7.5045E+00,-3.4177E+01,6.4473E-03,2.0055E-02,0.0000E+00,4.0000E+00,9.8526E-03,8.1676E-04,2.1216E-02,2.7253E-03
7,3.0000E+01,1.3500E+02,7.6412E+00,-3.3687E+01,5.5081E-03,1.9593E-02,0.0000E+00,4.0000E+00,8.5592E-03,2.7248E-04,1.8278E-02,1.2210E-03
8,3.0000E+01,1.5000E+02,7.7080E+00,-3.3561E+01,4.3981E-03,2.2509E-02,0.0000E+00,4.0000E+00,6.5962E-03,-1.5058E-04,1.0267E-02,2.2051E-06
9,3.0000E+01,1.6500E+02,7.8095E+00,-3.3456E+01,4.2455E-03,1.4495E-02,0.0000E+00,4.0000E+00,6.1620E-03,-3.6047E-03,1.7767E-02,3.1299E-03
10,3.0000E+01,1.8000E+02,8.0666E+00,-3.3048E+01,5.1781E-03,1.6916E-02,0.0000E+00,4.0000E+00,7.4174E-03,-4.6846E-03,1.8965E-02,2.6355E-03
11,3.0000E+01,1.9500E+02,8.0257E+00,-3.2895E+01,6.1235E-03,1.6056E-02,0.0000E+00,4.0000E+00,9.1193E-03,-4.1718E-03,1.4231E-02,-1.0195E-03
12,3.0000E+01,2.1000E+02,7.9882E+00,-3.2637E+01,6.8731E-03,2.1975E-02,0.0000E+00,4.0000E+00,1.0640E-02,-1.1317E-03,1.8863E-02,6.3996E-04
13,3.0000E+01,2.2500E+02,8.0561E+00,-3.2332E+01,5.8784E-03,1.9704E-02,0.0000E+00,4.0000E+00,9.0906E-03,-8.2991E-04,1.8043E-02,8.5729E-04
14,3.0000E+01,2.4000E+02,8.1202E+00,-3.2096E+01,5.0648E-03,2.5748E-02,0.0000E+00,4.0000E+00,7.9424E-03,-2.1905E-03,1.4743E-02,5.1759E-04
15,3.0000E+01,2.5500E+02,8.1290E+00,-3.1897E+01,4.6248E-03,2.8862E-02,0.0000E+00,4.0000E+00,7.1178E-03,-3.6923E-03,1.3948E-02,-5.3674E-04
16,3.0000E+01,2.7000E+02,8.1291E+00,-3.1702E+01,5.3287E-03,2.0340E-02,0.0000E+00,4.0000E+00,8.1898E-03,-3.3508E-03,1.4731E-02,-1.7352E-03
17,3.0000E+01,2.8500E+02,8.0235E+00,-3.1441E+01,7.1475E-03,2.3785E-02,0.0000E+00,4.0000E+00,1.0925E-02,-2.7973E-03,1.8191E-02,-1.5160E-03
18,3.0000E+01,3.0000E+02,7.9983E+00,-3.1186E+01,5.9724E-03,3.0484E-02,0.0000E+00,4.0000E+00,8.8313E-03,-2.0933E-03,1.7537E-02,-2.5936E-05
19,3.0000E+01,3.1500E+02,7.9596E+00,-3.0972E+01,4.7974E-03,3.6807E-02,0.0000E+00,4.0000E+00,7.2048E-03,-3.2432E-03,1.6038E-02,-6.1153E-04
20,3.0000E+01,3.3000E+02,7.8539E+00,-3.0721E+01,4.8017E-03,3.3436E-02,0.0000E+00,4.0000E+00,7.0831E-03,-4.2069E-03,1.4300E-02,-2.0320E-03
21,3.0000E+01,3.4500E+02,7.7229E+00,-3.0524E+01,5.0749E-03,3.0771E-02,0.0000E+00,4.0000E+00,7.5866E-03,-3.9156E-03,1.3641E-02,-1.7925E-03
22,3.0000E+01,3.6000E+02,7.5897E+00,-3.0325E+01,5.6244E-03,2.1424E-02,0.0000E+00,4.0000E+00,8.9641E-03,-2.4690E-03,1.7354E-02,-1.8847E-03
23,3.0000E+01,3.7500E+02,7.4137E+00,-3.0054E+01,7.2905E-03,2.1904E-02,0.0000E+00,4.0000E+00,1.1238E-02,-1.5969E-03,1.9680E-02,-3.1512E-03
24,3.0000E+01,3.9000E+02,7.2302E+00,-2.9715E+01,6.6904E-03,3.1746E-02,0.0000E+00,4.0000E+00,1.0108E-02,-1.8713E-03,1.5625E-02,-2.8105E-03
25,3.0000E+01,4.0500E+02,7.1062E+00,-2.9561E+01,5.9688E-03,3.6395E-02,0.0000E+00,4.0000E+00,9.0106E-03,-2.3115E-03,1.2308E-02,-3.7577E-03
26,3.0000E+01,4.2000E+02,6.8721E+00,-2.9382E+01,6.1926E-03,3.6817E-02,0.0000E+00,4.0000E+00,9.5075E-03,-2.9285E-03,1.4308E-02,-3.4937E-03
27,3.0000E+01,4.3500E+02,6.6906E+00,-2.9180E+01,6.3352E-03,2.6772E-02,0.0000E+00,4.0000E+00,9.7673E-03,-2.3124E-03,1.6400E-02,-2.8448E-03
28,3.0000E+01,4.5000E+02,6.4801E+00,-2.8879E+01,5.5835E-03,2.5349E-02,0.0000E+00,4.0000E+00,8.3461E-03,-2.2182E-03,1.3995E-02,-2.9947E-03
29,3.0000E+01,4.6500E+02,6.2682E+00,-2.8753E+01,6.2083E-03,2.5394E-02,0.0000E+00,4.0000E+00,9.6339E-03,-6.2089E-04,1.9377E-02,-6.3497E-03
30,3.0000E+01,4.8000E+02,6.0214E+00,-2.8226E+01,7.7733E-03,3.3520E-02,0.0000E+00,4.0000E+00,1.2195E-02,-9.8576E-04,1.9705E-02,-6.5004E-03
31,3.0000E+01,4.9500E+02,5.7999E+00,-2.8153E+01,6.1062E-03,4.2794E-02,0.0000E+00,4.0000E+00,9.5331E-03,-1.2650E-03,8.9513E-03,-5.2131E-03
32,3.0000E+01,5.1000E+02,5.6585E+00,-2.8073E+01,5.4155E-03,2.8750E-02,0.0000E+00,4.0000E+00,8.4508E-03,-2.6398E-03,1.3195E-02,-3.0162E-03
33,3.0000E+01,5.2500E+02,5.4241E+00,-2.7760E+01,5.5310E-03,2.8012E-02,0.0000E+00,4.0000E+00,8.2583E-03,-2.5518E-03,1.7604E-02,-3.6108E-03
34,3.0000E+01,5.4000E+02,5.2188E+00,-2.7542E+01,5.1364E-03,2.4803E-02,0.0000E+00,4.0000E+00,7.7356E-03,-2.0318E-03,1.4599E-02,-2.7742E-03
35,3.0000E+01,5.5500E+02,5.0374E+00,-2.7343E+01,5.6161E-03,2.3162E-02,0.0000E+00,4.0000E+00,8.5040E-03,-2.9126E-03,1.4316E-02,-1.9927E-03
36,3.0000E+01,5.7000E+02,4.8782E+00,-2.7140E+01,6.6130E-03,2.0871E-02,0.0000E+00,4.0000E+00,1.0372E-02,-3.1289E-03,1.7550E-02,-2.4665E-03
37,3.0000E+01,5.8500E+02,4.6940E+00,-2.6783E+01,5.1483E-03,2.0475E-02,0.0000E+00,4.0000E+00,7.9088E-03,-3.9233E-03,1.6091E-02,-2.0354E-03
38,3.0000E+01,6.0000E+02,4.5742E+00,-2.6617E+01,4.9886E-03,3.2138E-02,0.0000E+00,4.0000E+00,7.2976E-03,-3.0001E-03,1.3011E-02,-3.4287E-03
39,3.0000E+01,6.1500E+02,4.4556E+00,-2.6359E+01,5.4948E-03,2.9988E-02,0.0000E+00,4.0000E+00,8.2111E-03,-2.8732E-03,1.1786E-02,-1.8753E-03
40,3.0000E+01,6.3000E+02,4.4707E+00,-2.6212E+01,5.0447E-03,2.8603E-02,0.0000E+00,4.0000E+00,7.6994E-03,-1.8298E-03,1.4129E-02,8.6741E-04
41,3.0000E+01,6.4500E+02,4.5978E+00,-2.5923E+01,4.5782E-03,2.8625E-02,0.0000E+00,4.0000E+00,6.9119E-03,-2.2982E-03,1.4519E-02,2.8647E-03
42,3.0000E+01,6.6000E+02,4.8075E+00,-2.5757E+01,5.1518E-03,3.7430E-02,0.0000E+00,4.0000E+00,7.9386E-03,-3.1334E-03,1.1168E-02,2.9436E-03
43,3.0000E+01,6.7500E+02,5.0001E+00,-2.5567E+01,5.7702E-03,3.7176E-02,0.0000E+00,4.0000E+00,9.0130E-03,-4.0750E-03,1.0701E-02,3.4520E-03
44,3.0000E+01,6.9000E+02,5.2018E+00,-2.5453E+01,4.8433E-03,3.7813E-02,0.0000E+00,4.0000E+00,7.5132E-03,-2.0697E-03,7.8226E-03,3.3073E-03
45,3.0000E+01,7.0500E+02,5.3107E+00,-2.5373E+01,4.8158E-03,2.9034E-02,0.0000E+00,4.0000E+00,7.3284E-03,-4.2938E-04,6.9348E-03,3.2403E-03
46,3.0000E+01,7.2000E+02,5.4164E+00,-2.5305E+01,5.3426E-03,2.0800E-02,0.0000E+00,4.0000E+00,8.2113E-03,4.4799E-04,1.2576E-02,4.7646E-04
47,3.0000E+01,7.3500E+02,5.3426E+00,-2.5032E+01,6.7597E-03,2.1833E-02,0.0000E+00,4.0000E+00,1.0267E-02,-3.2402E-04,1.2265E-02,-1.8804E-03
48,3.0000E+01,7.5000E+02,5.2220E+00,-2.4950E+01,7.5758E-03,2.7129E-02,0.0000E+00,4.0000E+00,1.1328E-02,-2.1817E-03,1.1938E-02,-2.3909E-03
49,3.0000E+01,7.6500E+02,5.1990E+00,-2.4646E+01,6.9370E-03,3.0439E-02,0.0000E+00,4.0000E+00,1.0647E-02,-3.9390E-03,1.4334E-02,-1.2321E-03
50,3.0000E+01,7.8000E+02,5.2022E+00,-2.4466E+01,5.1733E-03,3.4292E-02,0.0000E+00,4.0000E+00,8.0546E-03,-5.3095E-03,9.9823E-03,-1.9580E-03
51,3.0000E+01,7.9500E+02,5.1675E+00,-2.4345E+01,4.6555E-03,3.6045E-02,0.0000E+00,4.0000E+00,7.2874E-03,-5.2186E-03,9.9239E-03,-1.3647E-03
52,3.0000E+01,8.1000E+02,5.2510E+00,-2.4139E+01,4.8252E-03,3.0159E-02,0.0000E+00,4.0000E+00,7.4482E-03,-4.8181E-03,1.4872E-02,1.3337E-03
53,3.0000E+01,8.2500E+02,5.4506E+00,-2.3855E+01,4.9786E-03,2.5832E-02,0.0000E+00,4.0000E+00,7.5200E-03,-3.9603E-03,1.5217E-02,2.3637E-03
54,3.0000E+01,8.4000E+02,5.6502E+00,-2.3667E+01,5.7478E-03,2.4887E-02,0.0000E+00,4.0000E+00,8.4374E-03,-4.0185E-03,1.2379E-02,5.7137E-03
55,3.0000E+01,8.5500E+02,6.0850E+00,-2.3499E+01,5.7341E-03,4.5483E-02,0.0000E+00,4.0000E+00,8.5886E-03,-3.5943E-03,1.3970E-02,5.9622E-03
56,3.0000E+01,8.7000E+02,6.3021E+00,-2.3267E+01,5.5503E-03,3.5329E-02,0.0000E+00,4.0000E+00,8.5367E-03,-3.2897E-03,1.3843E-02,4.3282E-03
57,3.0000E+01,8.8500E+02,6.5965E+00,-2.3081E+01,5.5330E-03,3.0069E-02,0.0000E+00,4.0000E+00,8.6930E-03,-2.1232E-03,1.1054E-02,2.9748E-03
58,3.0000E+01,9.0000E+02,6.7349E+00,-2.2951E+01,5.2045E-03,2.2771E-02,0.0000E+00,4.0000E+00,7.9245E-03,-1.5597E-03,1.5085E-02,2.3880E-03
59,3.0000E+01,9.1500E+02,7.0051E+00,-2.2647E+01,6.1834E-03,3.0537E-02,0.0000E+00,4.0000E+00,9.2695E-03,-2.0516E-03,1.4804E-02,3.4879E-03
60,3.0000E+01,9.3000E+02,7.1469E+00,-2.2546E+01,6.5658E-03,2.4492E-02,0.0000E+00,4.0000E+00,1.0074E-02,-2.5131E-03,1.1443E-02,2.0012E-03
61,3.0000E+01,9.4500E+02,7.2697E+00,-2.2354E+01,6.5758E-03,1.8966E-02,0.0000E+00,4.0000E+00,9.9639E-03,-2.7181E-03,1.3199E-02,2.0253E-03
62,3.0000E+01,9.6000E+02,7.3387E+00,-2.2162E+01,5.8543E-03,1.9745E-02,0.0000E+00,4.0000E+00,8.8788E-03,-2.9720E-03,1.2621E-02,2.4476E-03
63,3.0000E+01,9.7500E+02,7.4534E+00,-2.1999E+01,5.8281E-03,2.3244E-02,0.0000E+00,4.0000E+00,8.8948E-03,-2.8900E-03,1.4876E-02,1.3313E-03
64,3.0000E+01,9.9000E+02,7.4424E+00,-2.1727E+01,5.4472E-03,2.5223E-02,0.0000E+00,4.0000E+00,8.4227E-03,-2.2368E-03,1.5995E-02,-2.2249E-04
65,3.0000E+01,1.0050E+03,7.4165E+00,-2.1518E+01,4.6730E-03,3.4738E-02,0.0000E+00,4.0000E+00,7.2215E-03,-1.5759E-03,1.4072E-02,-7.2131E-04
66,3.0000E+01,1.0200E+03,7.3880E+00,-2.1323E+01,4.6440E-03,4.6854E-02,0.0000E+00,4.0000E+00,7.0389E-03,-1.0900E-03,1.3678E-02,-7.2927E-04
67,3.0000E+01,1.0350E+03,7.3319E+00,-2.1135E+01,4.6358E-03,5.0291E-02,0.0000E+00,4.0000E+00,6.8424E-03,-1.9343E-03,1.3635E-02,-1.1209E-05
68,3.0000E+01,1.0500E+03,7.2885E+00,-2.0957E+01,5.4502E-03,5.6111E-02,0.0000E+00,4.0000E+00,8.1202E-03,-2.6670E-03,1.5958E-02,1.1416E-03
69,3.0000E+01,1.0650E+03,7.2829E+00,-2.0662E+01,4.8570E-03,4.2072E-02,0.0000E+00,4.0000E+00,7.4443E-03,-3.6014E-03,1.4156E-02,-5.8086E-04
70,3.0000E+01,1.0800E+03,7.1111E+00,-2.0524E+01,4.3240E-03,3.3957E-02,0.0000E+00,4.0000E+00,6.6233E-03,-3.0487E-03,1.5660E-02,-3.7228E-03
