SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,4.5811E+00,-2.0753E+01,7.3656E-03,2.8525E-02,0.0000E+00,4.0000E+00,1.1251E-02,6.0411E-05,4.4565E-03,1.2077E-03
1,3.0000E+01,4.5000E+01,4.6857E+00,-2.0700E+01,4.9992E-03,4.1082E-02,0.0000E+00,4.0000E+00,7.5219E-03,-2.9279E-05,6.1844E-03,1.6870E-03
2,3.0000E+01,6.0000E+01,4.8038E+00,-2.0576E+01,6.5015E-03,2.8963E-02,0.0000E+00,4.0000E+00,1.0003E-02,-7.2572E-04,8.0361E-03,3.2632E-03
3,3.0000E+01,7.5000E+01,5.0113E+00,-2.0440E+01,6.1881E-03,2.0613E-02,0.0000E+00,4.0000E+00,9.6749E-03,-8.3800E-04,7.5055E-03,4.5983E-03
4,3.0000E+01,9.0000E+01,5.2009E+00,-2.0368E+01,5.1427E-03,2.5051E-02,0.0000E+00,4.0000E+00,7.9918E-03,-6.1603E-04,6.6303E-03,3.5521E-03
5,3.0000E+01,1.0500E+02,5.2918E+00,-2.0284E+01,5.5672E-03,2.7592E-02,0.0000E+00,4.0000E+00,8.4664E-03,-4.4945E-04,8.4476E-03,2.9635E-03
6,3.0000E+01,1.2000E+02,5.4256E+00,-2.0111E+01,7.2720E-03,2.0295E-02,0.0000E+00,4.0000E+00,1.1070E-02,-6.1037E-04,1.1146E-02,2.9290E-03
7,3.0000E+01,1.3500E+02,5.5607E+00,-1.9918E+01,7.0990E-03,1.7356E-02,0.0000E+00,4.0000E+00,1.1011E-02,-1.1350E-03,7.0708E-03,1.5595E-03
8,3.0000E+01,1.5000E+02,5.6302E+00,-1.9895E+01,5.2601E-03,2.2779E-02,0.0000E+00,4.0000E+00,7.8367E-03,-1.3115E-03,3.5377E-03,1.7372E-03
9,3.0000E+01,1.6500E+02,5.7452E+00,-1.9850E+01,4.3319E-03,1.4987E-02,0.0000E+00,4.0000E+00,6.2339E-03,-1.9812E-03,9.3444E-03,2.1972E-03
10,3.0000E+01,1.8000E+02,5.8460E+00,-1.9617E+01,3.6350E-03,1.5815E-02,0.0000E+00,4.0000E+00,5.1910E-03,-3.0222E-03,1.0037E-02,1.7495E-03
11,3.0000E+01,1.9500E+02,5.9231E+00,-1.9537E+01,4.6720E-03,1.4067E-02,0.0000E+00,4.0000E+00,6.9480E-03,-3.2462E-03,7.0056E-03,5.3826E-04
12,3.0000E+01,2.1000E+02,5.9434E+00,-1.9413E+01,7.0724E-03,2.0504E-02,0.0000E+00,4.0000E+00,1.0905E-02,-2.5892E-03,1.0361E-02,5.9354E-04
13,3.0000E+01,2.2500E+02,6.0049E+00,-1.9224E+01,7.7152E-03,2.0447E-02,0.0000E+00,4.0000E+00,1.1906E-02,-2.1773E-03,8.3665E-03,7.2745E-04
14,3.0000E+01,2.4000E+02,6.0491E+00,-1.9178E+01,6.1318E-03,2.3441E-02,0.0000E+00,4.0000E+00,9.6179E-03,-2.5032E-03,5.2591E-03,-3.8543E-04
15,3.0000E+01,2.5500E+02,6.0130E+00,-1.9090E+01,4.6307E-03,2.8351E-02,0.0000E+00,4.0000E+00,7.1144E-03,-2.9376E-03,6.3808E-03,-7.7087E-04
16,3.0000E+01,2.7000E+02,5.9897E+00,-1.8999E+01,4.6360E-03,2.3637E-02,0.0000E+00,4.0000E+00,7.0822E-03,-2.6228E-03,7.2807E-03,-5.7649E-04
17,3.0000E+01,2.8500E+02,5.9438E+00,-1.8873E+01,6.2389E-03,2.6299E-02,0.0000E+00,4.0000E+00,9.4643E-03,-2.2305E-03,9.5239E-03,-2.4208E-04
