SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,4.6426E+00,-3.7876E+00,4.5089E-03,2.6279E-02,0.0000E+00,4.0000E+00,6.3856E-03,1.5273E-03,3.3879E-03,7.6834E-04
1,3.0000E+01,4.5000E+01,4.7016E+00,-3.7571E+00,4.8798E-03,3.7059E-02,0.0000E+00,4.0000E+00,6.7534E-03,1.4559E-03,3.4154E-03,6.2758E-04
2,3.0000E+01,6.0000E+01,4.7592E+00,-3.7012E+00,5.7730E-03,2.8975E-02,0.0000E+00,4.0000E+00,8.0218E-03,8.0938E-04,3.3928E-03,1.6410E-03
3,3.0000E+01,7.5000E+01,4.9061E+00,-3.6350E+00,5.4665E-03,1.9171E-02,0.0000E+00,4.0000E+00,7.5696E-03,-7.0305E-06,1.9314E-03,2.9493E-03
4,3.0000E+01,9.0000E+01,5.0138E+00,-3.6619E+00,5.1062E-03,2.5683E-02,0.0000E+00,4.0000E+00,7.0230E-03,-1.5879E-04,9.2077E-04,2.3286E-03
5,3.0000E+01,1.0500E+02,5.0532E+00,-3.6573E+00,5.2984E-03,2.7543E-02,0.0000E+00,4.0000E+00,7.1689E-03,1.3835E-04,2.0493E-03,2.4870E-03
6,3.0000E+01,1.2000E+02,5.1144E+00,-3.6174E+00,6.0462E-03,1.6711E-02,0.0000E+00,4.0000E+00,8.3451E-03,1.8456E-04,5.2510E-03,2.2822E-03
7,3.0000E+01,1.3500E+02,5.1735E+00,-3.4684E+00,6.1376E-03,1.5004E-02,0.0000E+00,4.0000E+00,8.6245E-03,1.8799E-04,2.9560E-03,1.9222E-03
8,3.0000E+01,1.5000E+02,5.2237E+00,-3.5083E+00,5.3100E-03,2.2285E-02,0.0000E+00,4.0000E+00,7.1382E-03,7.9588E-04,-2.7702E-04,1.9264E-03
9,3.0000E+01,1.6500E+02,5.2879E+00,-3.5015E+00,4.7468E-03,1.4596E-02,0.0000E+00,4.0000E+00,6.2732E-03,7.2418E-04,4.1189E-03,1.7840E-03
10,3.0000E+01,1.8000E+02,5.3561E+00,-3.3708E+00,4.2240E-03,1.0941E-02,0.0000E+00,4.0000E+00,5.8292E-03,-2.8221E-04,4.6569E-03,1.3025E-03
11,3.0000E+01,1.9500E+02,5.4292E+00,-3.3368E+00,4.4933E-03,1.0094E-02,0.0000E+00,4.0000E+00,6.3084E-03,-9.8311E-04,2.1420E-03,1.6739E-04
12,3.0000E+01,2.1000E+02,5.4423E+00,-3.3014E+00,6.3878E-03,1.6943E-02,0.0000E+00,4.0000E+00,8.8246E-03,-1.0240E-03,1.5944E-03,1.7192E-04
