SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,3.0000E+01,5.6431E+00,-2.8201E+01,9.2372E-03,3.0501E-02,0.0000E+00,4.0000E+00,1.4124E-02,4.7758E-04,5.4114E-03,1.7556E-03
1,3.0000E+01,4.5000E+01,5.7815E+00,-2.8128E+01,5.6417E-03,4.4470E-02,0.0000E+00,4.0000E+00,8.5024E-03,7.4644E-05,9.0860E-03,1.9109E-03
2,3.0000E+01,6.0000E+01,5.8881E+00,-2.7928E+01,6.8699E-03,3.8521E-02,0.0000E+00,4.0000E+00,1.0589E-02,-2.5243E-03,1.3778E-02,2.4948E-03
3,3.0000E+01,7.5000E+01,6.1377E+00,-2.7650E+01,6.3646E-03,2.5637E-02,0.0000E+00,4.0000E+00,9.9708E-03,-2.1240E-03,1.2729E-02,4.0748E-03
4,3.0000E+01,9.0000E+01,6.3510E+00,-2.7540E+01,4.7618E-03,2.3423E-02,0.0000E+00,4.0000E+00,7.4182E-03,-1.0651E-03,9.8862E-03,3.0703E-03
5,3.0000E+01,1.0500E+02,6.4462E+00,-2.7444E+01,5.2227E-03,2.2531E-02,0.0000E+00,4.0000E+00,7.9691E-03,5.4868E-04,1.1390E-02,3.0876E-03
6,3.0000E+01,1.2000E+02,6.5924E+00,-2.7238E+01,6.2161E-03,1.9223E-02,0.0000E+00,4.0000E+00,9.4835E-03,8.2633E-04,1.5397E-02,3.2664E-03
7,3.0000E+01,1.3500E+02,6.7366E+00,-2.6939E+01,6.0163E-03,1.8502E-02,0.0000E+00,4.0000E+00,9.3424E-03,1.0519E-04,1.2768E-02,1.5498E-03
8,3.0000E+01,1.5000E+02,6.8052E+00,-2.6827E+01,5.2654E-03,2.8013E-02,0.0000E+00,4.0000E+00,7.8736E-03,3.7904E-04,8.7747E-03,1.3321E-03
9,3.0000E+01,1.6500E+02,6.9292E+00,-2.6722E+01,4.7468E-03,1.7214E-02,0.0000E+00,4.0000E+00,6.8623E-03,-2.1119E-04,1.4808E-02,2.7107E-03
10,3.0000E+01,1.8000E+02,7.0830E+00,-2.6391E+01,4.7525E-03,1.4528E-02,0.0000E+00,4.0000E+00,6.7984E-03,-1.3935E-03,1.5305E-02,2.3136E-03
11,3.0000E+01,1.9500E+02,7.1666E+00,-2.6260E+01,4.9027E-03,1.3389E-02,0.0000E+00,4.0000E+00,7.2968E-03,-2.0832E-03,1.0588E-02,3.0926E-04
12,3.0000E+01,2.1000E+02,7.1834E+00,-2.6087E+01,6.9975E-03,2.0782E-02,0.0000E+00,4.0000E+00,1.0813E-02,-2.4696E-03,1.2499E-02,8.1051E-04
13,3.0000E+01,2.2500E+02,7.2511E+00,-2.5905E+01,6.7983E-03,2.3605E-02,0.0000E+00,4.0000E+00,1.0504E-02,-2.5362E-03,1.2735E-02,4.9601E-04
14,3.0000E+01,2.4000E+02,7.2649E+00,-2.5718E+01,5.4058E-03,2.4623E-02,0.0000E+00,4.0000E+00,8.4797E-03,-2.6542E-03,1.1760E-02,4.5701E-05
15,3.0000E+01,2.5500E+02,7.2348E+00,-2.5559E+01,4.8302E-03,2.7538E-02,0.0000E+00,4.0000E+00,7.4288E-03,-2.5441E-03,1.0458E-02,1.8661E-04
16,3.0000E+01,2.7000E+02,7.2598E+00,-2.5423E+01,5.1686E-03,2.4034E-02,0.0000E+00,4.0000E+00,7.9207E-03,-2.4583E-03,1.0591E-02,-9.7209E-05
17,3.0000E+01,2.8500E+02,7.2112E+00,-2.5238E+01,6.8314E-03,3.1282E-02,0.0000E+00,4.0000E+00,1.0402E-02,-2.9485E-03,1.3005E-02,-9.2478E-04
