SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,2.4150E+03,-4.5264E+00,-5.2622E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
1,3.0000E+01,2.4300E+03,-4.4621E+00,-5.3016E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
2,4.5000E+01,2.4150E+03,-1.1108E+00,-5.2073E+00,1.1524E-02,1.4353E-02,0.0000E+00,4.0000E+00,1.3492E-02,-8.8948E-03,-6.3270E-03,-3.0028E-02
3,6.0000E+01,2.4150E+03,-1.2450E+00,-5.2845E+00,1.1066E-02,1.4133E-02,0.0000E+00,4.0000E+00,1.3124E-02,-4.3439E-03,-5.0075E-03,-3.0547E-02
4,6.0000E+01,2.4300E+03,-2.0766E+00,-5.4030E+00,7.3996E-03,1.2486E-02,0.0000E+00,4.0000E+00,9.8606E-03,-4.3439E-03,-4.9626E-04,-2.3847E-02
5,7.5000E+01,2.4450E+03,-2.5080E+00,-5.3260E+00,7.4082E-03,4.3487E-02,0.0000E+00,4.0000E+00,9.5026E-03,-2.2793E-02,3.7984E-03,-7.5072E-03
6,7.5000E+01,2.4300E+03,-2.1366E+00,-5.3926E+00,7.3611E-03,1.4675E-02,0.0000E+00,4.0000E+00,9.3670E-03,-1.9022E-02,-1.1954E-04,-1.9736E-02
7,7.5000E+01,2.4150E+03,-1.2442E+00,-5.3289E+00,1.0333E-02,1.2030E-02,0.0000E+00,4.0000E+00,1.2109E-02,-1.7437E-02,-3.8833E-03,-3.1043E-02
8,9.0000E+01,2.4150E+03,-4.5307E+00,-5.3383E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
9,9.0000E+01,2.4300E+03,-2.7367E+00,-5.4001E+00,1.1079E-02,1.0441E-02,0.0000E+00,4.0000E+00,1.3850E-02,-9.0857E-02,-2.9325E-03,1.9655E-03
10,9.0000E+01,2.4450E+03,-2.9173E+00,-5.3680E+00,1.0862E-02,3.9239E-02,0.0000E+00,4.0000E+00,1.3741E-02,-7.1776E-02,1.9664E-03,2.1941E-03
11,1.0500E+02,2.4450E+03,-4.1394E+00,-5.4104E+00,9.3194E-03,4.6653E-02,0.0000E+00,4.0000E+00,1.2675E-02,-1.0880E-01,9.3647E-04,9.0195E-03
12,1.0500E+02,2.4300E+03,-4.9786E+00,-5.3992E+00,5.5293E-03,1.6854E-02,0.0000E+00,4.0000E+00,7.3912E-03,-1.1119E-01,-4.5520E-03,1.3522E-02
13,1.0500E+02,2.4150E+03,-5.3576E+00,-5.2062E+00,4.8350E-03,1.4676E-02,0.0000E+00,4.0000E+00,6.5393E-03,-1.3829E-01,-1.2460E-02,1.0775E-02
14,2.2500E+02,3.0000E+01,-2.3328E+00,-1.0830E+01,4.1983E-03,6.9735E-02,0.0000E+00,4.0000E+00,6.3595E-03,-6.8743E-03,2.9376E-03,1.1139E-03
15,2.4000E+02,3.0000E+01,-2.4363E+00,-1.0831E+01,5.3335E-03,2.6222E-02,0.0000E+00,4.0000E+00,8.0297E-03,-4.2062E-03,2.7756E-03,2.8418E-04
16,2.4000E+02,4.5000E+01,-2.4017E+00,-1.0787E+01,5.1040E-03,2.1849E-02,0.0000E+00,4.0000E+00,7.5317E-03,-3.6902E-03,3.0134E-03,3.4545E-04
