 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0          0.5000;
     1    0.009               8               0          0.5000;
     2    0.018              36               0          0.5000;
     3    0.027              71              12          0.5000;
     4    0.035             108              40          0.5000;
     5    0.044             142              84          0.5000;
     6    0.053             177             136          0.5000;
     7    0.062             216             189          0.5000;
     8    0.071             263             238          0.5000;
     9    0.080             316             280          0.5000;
    10    0.089             371             320          0.5000;
    11    0.097             422             358          0.5000;
    12    0.106             464             398          0.5000;
    13    0.115             497             441          0.5000;
    14    0.124             521             482          0.5000;
    15    0.133             543             517          0.5000;
    16    0.142             565             542          0.5000;
    17    0.151             588             556          0.5000;
    18    0.159             608             561          0.5000;
    19    0.168             620             563          0.5000;
    20    0.177             624             564          0.5000;
    21    0.186             618             565          0.5000;
    22    0.195             606             565          0.5000;
    23    0.204             591             559          0.5000;
    24    0.213             578             547          0.5000;
    25    0.221             567             530          0.5000;
    26    0.230             558             511          0.5000;
    27    0.239             547             493          0.5000;
    28    0.248             532             477          0.5000;
    29    0.257             514             464          0.5000;
    30    0.266             495             452          0.5000;
    31    0.274             477             439          0.5000;
    32    0.283             461             425          0.5000;
    33    0.292             449             408          0.5000;
    34    0.301             439             391          0.5000;
    35    0.310             430             375          0.5000;
    36    0.319             421             363          0.5000;
    37    0.328             411             356          0.5000;
    38    0.336             401             352          0.5000;
    39    0.345             395             351          0.5000;
    40    0.354             392             349          0.5000;
    41    0.363             392             347          0.5000;
    42    0.372             396             346          0.5000;
    43    0.381             400             346          0.5000;
    44    0.390             403             349          0.5000;
    45    0.398             405             354          0.5000;
    46    0.407             407             358          0.5000;
    47    0.416             408             361          0.5000;
    48    0.425             410             362          0.5000;
    49    0.434             412             363          0.5000;
    50    0.443             412             363          0.5000;
    51    0.452             412             363          0.5000;
    52    0.460             412             363          0.5000;
    53    0.469             412             363          0.5000;
    54    0.478             412             363          0.5000;
    55    0.487             412             363          0.5000;
    56    0.496             412             363          0.5000;
    57    0.505             412             363          0.5000;
    58    0.514             412             363          0.5000;
    59    0.522             412             363          0.5000;
    60    0.531             412             363          0.5000;
    61    0.540             412             363          0.5000;
    62    0.549             412             363          0.5000;
    63    0.558             412             363          0.5000;
    64    0.567             412             363          0.5000;
    65    0.576             412             363          0.5000;
    66    0.584             412             363          0.5000;
    67    0.593             412             363          0.5000;
    68    0.602             412             363          0.5000;
    69    0.611             412             363          0.5000;
    70    0.620             412             363          0.5000;
    71    0.629             412             363          0.5000;
    72    0.638             412             363          0.5000;
    73    0.646             412             363          0.5000;
    74    0.655             412             363          0.5000;
    75    0.664             412             363          0.5000;
    76    0.673             412             363          0.5000;
    77    0.682             412             363          0.5000;
    78    0.691             412             363          0.5000;
    79    0.699             412             363          0.5000;
    80    0.708             412             363          0.5000;
    81    0.717             412             363          0.5000;
    82    0.726             412             363          0.5000;
    83    0.735             412             363          0.5000;
    84    0.744             412             363          0.5000;
    85    0.753             412             363          0.5000;
    86    0.761             412             363          0.5000;
    87    0.770             412             363          0.5000;
    88    0.779             412             363          0.5000;
    89    0.788             412             363          0.5000;
    90    0.797             412             363          0.5000;
    91    0.806             412             363          0.5000;
    92    0.815             412             363          0.5000;
    93    0.823             412             363          0.5000;
    94    0.832             412             363          0.5000;
    95    0.841             412             363          0.5000;
    96    0.850             412             363          0.5000;
    97    0.859             412             363          0.5000;
    98    0.868             412             363          0.5000;
    99    0.877             412             363          0.5000;
   100    0.885             412             363          0.5000;
   101    0.894             412             363          0.5000;
   102    0.903             412             363          0.5000;
   103    0.912             412             363          0.5000;
   104    0.921             412             363          0.5000;
   105    0.930             412             363          0.5000;
   106    0.939             412             363          0.5000;
   107    0.947             412             363          0.5000;
   108    0.956             412             363          0.5000;
   109    0.965             412             363          0.5000;
   110    0.974             412             363          0.5000;
   111    0.983             412             363          0.5000;
   112    0.992             412             363          0.5000;
   113    1.001             412             363          0.5000;
   114    1.009             412             363          0.5000;
   115    1.018             412             363          0.5000;
   116    1.027             412             363          0.5000;
   117    1.036             412             363          0.5000;
   118    1.045             412             363          0.5000;
   119    1.054             412             363          0.5000;
   120    1.063             412             363          0.5000;
   121    1.071             412             363          0.5000;
   122    1.080             412             363          0.5000;
   123    1.089             412             363          0.5000;
   124    1.098             412             363          0.5000;
   125    1.107             412             363          0.5000;
   126    1.116             412             363          0.5000;
   127    1.124             412             363          0.5000;
   128    1.133             412             363          0.5000;
   129    1.142             412             363          0.5000;
   130    1.151             412             363          0.5000;
   131    1.160             412             363          0.5000;
   132    1.169             412             363          0.5000;
   133    1.178             412             363          0.5000;
   134    1.186             412             363          0.5000;
   135    1.195             412             363          0.5000;
   136    1.204             412             363          0.5000;
   137    1.213             412             363          0.5000;
   138    1.222             412             363          0.5000;
   139    1.231             412             363          0.5000;
   140    1.240             412             363          0.5000;
   141    1.248             412             363          0.5000;
   142    1.257             412             363          0.5000;
   143    1.266             412             363          0.5000;
   144    1.275             412             363          0.5000;
   145    1.284             412             363          0.5000;
   146    1.293             412             363          0.5000;
   147    1.302             412             363          0.5000;
   148    1.310             412             363          0.5000;
   149    1.319             412             363          0.5000;
   150    1.328             412             363          0.5000;
   151    1.337             412             363          0.5000;
   152    1.346             412             363          0.5000;
   153    1.355             412             363          0.5000;
   154    1.364             412             363          0.5000;
   155    1.372             412             363          0.5000;
   156    1.381             412             363          0.5000;
   157    1.390             412             363          0.5000;
   158    1.399             412             363          0.5000;
   159    1.408             412             363          0.5000;
   160    1.417             412             363          0.5000;
   161    1.426             412             363          0.5000;
   162    1.434             412             363          0.5000;
   163    1.443             412             363          0.5000;
   164    1.452             412             363          0.5000;
   165    1.461             412             363          0.5000;
   166    1.470             412             363          0.5000;
   167    1.479             412             363          0.5000;
   168    1.488             412             363          0.5000;
   169    1.496             412             363          0.5000;
   170    1.505             412             363          0.5000;
   171    1.514             412             363          0.5000;
   172    1.523             412             363          0.5000;
   173    1.532             412             363          0.5000;
   174    1.541             412             363          0.5000;
   175    1.549             412             363          0.5000;
   176    1.558             412             363          0.5000;
   177    1.567             412             363          0.5000;
   178    1.576             412             363          0.5000;
   179    1.585             412             363          0.5000;
   180    1.594             412             363          0.5000;
   181    1.603             412             363          0.5000;
   182    1.611             412             363          0.5000;
   183    1.620             412             363          0.5000;
   184    1.629             412             363          0.5000;
   185    1.638             412             363          0.5000;
   186    1.647             412             363          0.5000;
   187    1.656             412             363          0.5000;
   188    1.665             412             363          0.5000;
   189    1.673             412             363          0.5000;
   190    1.682             412             363          0.5000;
   191    1.691             412             363          0.5000;
   192    1.700             412             363          0.5000;
   193    1.709             412             363          0.5000;
   194    1.718             412             363          0.5000;
   195    1.727             412             363          0.5000;
   196    1.735             412             363          0.5000;
   197    1.744             412             363          0.5000;
   198    1.753             412             363          0.5000;
   199    1.762             412             363          0.5000;
   200    1.771             412             363          0.5000;
   201    1.780             412             363          0.5000;
   202    1.789             412             363          0.5000;
   203    1.797             412             363          0.5000;
   204    1.806             412             363          0.5000;
   205    1.815             412             363          0.5000;
   206    1.824             412             363          0.5000;
   207    1.833             412             363          0.5000;
   208    1.842             412             363          0.5000;
   209    1.851             412             363          0.5000;
