 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0              16          0.5000;
     1    0.009              10              16          0.5000;
     2    0.018              42              16          0.5000;
     3    0.027              94              16          0.5000;
     4    0.035             162              16          0.5000;
     5    0.044             243              18          0.5000;
     6    0.053             336              20          0.5000;
     7    0.062             436              22          0.5000;
     8    0.071             540              23          0.5000;
     9    0.080             642              25          0.5000;
    10    0.089             740              27          0.5000;
    11    0.097             830              28          0.5000;
    12    0.106             907              29          0.5000;
    13    0.115             971              30          0.5000;
    14    0.124            1019              31          0.5000;
    15    0.133            1047              32          0.5000;
    16    0.142            1058              34          0.5000;
    17    0.151            1052              36          0.5000;
    18    0.159            1029              38          0.5000;
    19    0.168             992              38          0.5000;
    20    0.177             942              37          0.5000;
    21    0.186             883              37          0.5000;
    22    0.195             816              36          0.5000;
    23    0.204             745              36          0.5000;
    24    0.213             673              35          0.5000;
    25    0.221             602              34          0.5000;
    26    0.230             535              32          0.5000;
    27    0.239             473              31          0.5000;
    28    0.248             421              30          0.5000;
    29    0.257             381              30          0.5000;
    30    0.266             353              30          0.5000;
    31    0.274             339              29          0.5000;
    32    0.283             336              28          0.5000;
    33    0.292             346              27          0.5000;
    34    0.301             367              27          0.5000;
    35    0.310             398              27          0.5000;
    36    0.319             437              27          0.5000;
    37    0.328             483              27          0.5000;
    38    0.336             532              28          0.5000;
    39    0.345             582              30          0.5000;
    40    0.354             632              31          0.5000;
    41    0.363             678              31          0.5000;
    42    0.372             720              31          0.5000;
    43    0.381             757              32          0.5000;
    44    0.390             786              33          0.5000;
    45    0.398             806              34          0.5000;
    46    0.407             817              34          0.5000;
    47    0.416             819              34          0.5000;
    48    0.425             813              34          0.5000;
    49    0.434             799              34          0.5000;
    50    0.443             779              34          0.5000;
    51    0.452             754              34          0.5000;
    52    0.460             728              34          0.5000;
    53    0.469             700              34          0.5000;
    54    0.478             672              33          0.5000;
    55    0.487             645              33          0.5000;
    56    0.496             620              33          0.5000;
    57    0.505             596              33          0.5000;
    58    0.514             576              33          0.5000;
    59    0.522             559              33          0.5000;
    60    0.531             547              33          0.5000;
    61    0.540             541              33          0.5000;
    62    0.549             540              34          0.5000;
    63    0.558             543              37          0.5000;
    64    0.567             551              42          0.5000;
    65    0.576             562              47          0.5000;
    66    0.584             575              49          0.5000;
    67    0.593             589              50          0.5000;
    68    0.602             602              50          0.5000;
    69    0.611             614              50          0.5000;
    70    0.620             625              50          0.5000;
    71    0.629             634              50          0.5000;
    72    0.638             641              50          0.5000;
    73    0.646             646              50          0.5000;
    74    0.655             648              49          0.5000;
    75    0.664             648              48          0.5000;
    76    0.673             648              48          0.5000;
    77    0.682             645              48          0.5000;
    78    0.691             642              48          0.5000;
    79    0.699             638              48          0.5000;
    80    0.708             635              47          0.5000;
    81    0.717             632              47          0.5000;
    82    0.726             629              46          0.5000;
    83    0.735             628              46          0.5000;
    84    0.744             627              46          0.5000;
    85    0.753             627              46          0.5000;
    86    0.761             627              46          0.5000;
    87    0.770             627              46          0.5000;
    88    0.779             627              46          0.5000;
    89    0.788             627              45          0.5000;
    90    0.797             627              44          0.5000;
    91    0.806             627              43          0.5000;
    92    0.815             627              43          0.5000;
    93    0.823             627              43          0.5000;
    94    0.832             627              43          0.5000;
    95    0.841             627              42          0.5000;
    96    0.850             627              42          0.5000;
    97    0.859             627              41          0.5000;
    98    0.868             627              41          0.5000;
    99    0.877             627              41          0.5000;
   100    0.885             627              41          0.5000;
   101    0.894             627              41          0.5000;
   102    0.903             627              41          0.5000;
   103    0.912             627              41          0.5000;
   104    0.921             627              41          0.5000;
   105    0.930             627              40          0.5000;
   106    0.939             627              40          0.5000;
   107    0.947             627              40          0.5000;
   108    0.956             627              40          0.5000;
   109    0.965             627              40          0.5000;
