 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0              18          0.5000;
     1    0.009              11              18          0.5000;
     2    0.018              43              18          0.5000;
     3    0.027              95              18          0.5000;
     4    0.035             163              18          0.5000;
     5    0.044             246              19          0.5000;
     6    0.053             339              20          0.5000;
     7    0.062             439              23          0.5000;
     8    0.071             543              25          0.5000;
     9    0.080             645              29          0.5000;
    10    0.089             743              33          0.5000;
    11    0.097             832              36          0.5000;
    12    0.106             910              40          0.5000;
    13    0.115             977              44          0.5000;
    14    0.124            1026              48          0.5000;
    15    0.133            1056              51          0.5000;
    16    0.142            1069              54          0.5000;
    17    0.151            1065              55          0.5000;
    18    0.159            1043              56          0.5000;
    19    0.168            1007              56          0.5000;
    20    0.177             959              56          0.5000;
    21    0.186             900              55          0.5000;
    22    0.195             836              53          0.5000;
    23    0.204             767              51          0.5000;
    24    0.213             696              50          0.5000;
    25    0.221             627              49          0.5000;
    26    0.230             562              48          0.5000;
    27    0.239             502              48          0.5000;
    28    0.248             451              48          0.5000;
    29    0.257             411              47          0.5000;
    30    0.266             382              47          0.5000;
    31    0.274             367              47          0.5000;
    32    0.283             364              47          0.5000;
    33    0.292             376              47          0.5000;
    34    0.301             398              47          0.5000;
    35    0.310             430              47          0.5000;
    36    0.319             468              47          0.5000;
    37    0.328             512              47          0.5000;
    38    0.336             558              48          0.5000;
    39    0.345             606              49          0.5000;
    40    0.354             651              51          0.5000;
    41    0.363             694              52          0.5000;
    42    0.372             733              54          0.5000;
    43    0.381             766              56          0.5000;
    44    0.390             793              58          0.5000;
    45    0.398             812              59          0.5000;
    46    0.407             822              61          0.5000;
    47    0.416             823              61          0.5000;
    48    0.425             816              62          0.5000;
    49    0.434             803              62          0.5000;
    50    0.443             784              62          0.5000;
    51    0.452             762              62          0.5000;
    52    0.460             738              62          0.5000;
    53    0.469             713              62          0.5000;
    54    0.478             689              61          0.5000;
    55    0.487             666              61          0.5000;
    56    0.496             645              60          0.5000;
    57    0.505             627              60          0.5000;
    58    0.514             613              59          0.5000;
    59    0.522             601              59          0.5000;
    60    0.531             593              59          0.5000;
    61    0.540             589              59          0.5000;
    62    0.549             588              59          0.5000;
    63    0.558             591              59          0.5000;
    64    0.567             597              59          0.5000;
    65    0.576             604              59          0.5000;
    66    0.584             612              59          0.5000;
    67    0.593             619              59          0.5000;
    68    0.602             627              59          0.5000;
    69    0.611             634              59          0.5000;
    70    0.620             639              59          0.5000;
    71    0.629             645              59          0.5000;
    72    0.638             649              59          0.5000;
    73    0.646             651              59          0.5000;
    74    0.655             653              59          0.5000;
    75    0.664             654              59          0.5000;
    76    0.673             654              59          0.5000;
    77    0.682             654              59          0.5000;
    78    0.691             653              59          0.5000;
    79    0.699             652              59          0.5000;
    80    0.708             651              59          0.5000;
    81    0.717             651              59          0.5000;
    82    0.726             651              59          0.5000;
    83    0.735             651              59          0.5000;
    84    0.744             651              59          0.5000;
    85    0.753             651              59          0.5000;
    86    0.761             651              59          0.5000;
    87    0.770             651              59          0.5000;
    88    0.779             651              59          0.5000;
    89    0.788             651              59          0.5000;
    90    0.797             651              59          0.5000;
    91    0.806             651              59          0.5000;
    92    0.815             651              59          0.5000;
    93    0.823             651              59          0.5000;
    94    0.832             651              59          0.5000;
    95    0.841             651              59          0.5000;
    96    0.850             651              59          0.5000;
    97    0.859             651              59          0.5000;
    98    0.868             651              59          0.5000;
    99    0.877             651              59          0.5000;
   100    0.885             651              59          0.5000;
   101    0.894             651              59          0.5000;
   102    0.903             651              59          0.5000;
   103    0.912             651              58          0.5000;
   104    0.921             651              57          0.5000;
   105    0.930             651              56          0.5000;
   106    0.939             651              56          0.5000;
   107    0.947             651              55          0.5000;
   108    0.956             651              55          0.5000;
   109    0.965             651              55          0.5000;
   110    0.974             651              55          0.5000;
   111    0.983             651              56          0.5000;
   112    0.992             651              56          0.5000;
   113    1.001             651              56          0.5000;
   114    1.009             651              56          0.5000;
   115    1.018             651              57          0.5000;
   116    1.027             651              58          0.5000;
   117    1.036             651              58          0.5000;
   118    1.045             651              58          0.5000;
   119    1.054             651              58          0.5000;
   120    1.063             651              58          0.5000;
   121    1.071             651              60          0.5000;
   122    1.080             651              61          0.5000;
   123    1.089             651              63          0.5000;
   124    1.098             651              65          0.5000;
   125    1.107             651              66          0.5000;
   126    1.116             651              66          0.5000;
   127    1.124             651              66          0.5000;
   128    1.133             651              66          0.5000;
   129    1.142             651              68          0.5000;
   130    1.151             651              71          0.5000;
   131    1.160             651              73          0.5000;
   132    1.169             651              74          0.5000;
   133    1.178             651              74          0.5000;
   134    1.186             651              74          0.5000;
   135    1.195             651              72          0.5000;
   136    1.204             651              70          0.5000;
   137    1.213             651              69          0.5000;
   138    1.222             651              67          0.5000;
   139    1.231             651              65          0.5000;
   140    1.240             651              62          0.5000;
   141    1.248             651              58          0.5000;
   142    1.257             651              54          0.5000;
   143    1.266             651              49          0.5000;
   144    1.275             651              46          0.5000;
   145    1.284             651              45          0.5000;
   146    1.293             651              45          0.5000;
   147    1.302             651              49          0.5000;
   148    1.310             651              53          0.5000;
