 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000              -1               4          0.0000;
     1    0.009              -1               4          0.0000;
     2    0.018              -1               4          0.0000;
     3    0.027              -0               4          0.0000;
     4    0.035              -0               4          0.0000;
     5    0.044              -0               4          0.0000;
     6    0.053              -0               4          0.0000;
     7    0.062              -0               4          0.0000;
     8    0.071              -0               4          0.0000;
     9    0.080              -0               4          0.0000;
    10    0.089              -0               4          0.0000;
    11    0.097              -0               4          0.0000;
    12    0.106              -0               4          0.0000;
    13    0.115              -0               4          0.0000;
    14    0.124              -0               4          0.0000;
    15    0.133              -0               4          0.0000;
    16    0.142              -0               4          0.0000;
    17    0.151              -0               4          0.0000;
    18    0.159              -2               4          0.0000;
    19    0.168              -2               4          0.0000;
    20    0.177              -2               4          0.0000;
    21    0.186              -2               4          0.0000;
    22    0.195              -2               4          0.0000;
    23    0.204              -2               4          0.0000;
    24    0.213              -2               4          0.0000;
    25    0.221              -2               4          0.0000;
    26    0.230              -2               4          0.0000;
    27    0.239              -2               4          0.0000;
    28    0.248              -2               4          0.0000;
    29    0.257              -2               4          0.0000;
    30    0.266              -2               4          0.0000;
    31    0.274              -2               4          0.0000;
    32    0.283              -2               4          0.0000;
    33    0.292              -2               4          0.0000;
    34    0.301              -2               4          0.0000;
    35    0.310              -2               4          0.0000;
    36    0.319              -2               4          0.0000;
    37    0.328              -2               4          0.0000;
    38    0.336              -2               4          0.0000;
    39    0.345              -2               4          0.0000;
    40    0.354              -2               4          0.0000;
    41    0.363              -2               4          0.0000;
    42    0.372              -2               4          0.0000;
    43    0.381              -2               4          0.0000;
    44    0.390              -2               4          0.0000;
    45    0.398              -2               4          0.0000;
    46    0.407              -2               4          0.0000;
    47    0.416              -3               4          0.0000;
    48    0.425              -3               4          0.0000;
    49    0.434              -3               4          0.0000;
    50    0.443              -3               4          0.0000;
    51    0.452              -3               4          0.0000;
    52    0.460              -3               4          0.0000;
    53    0.469              -3               4          0.0000;
    54    0.478              -3               4          0.0000;
    55    0.487              -4               4          0.0000;
    56    0.496              -4               4          0.0000;
    57    0.505              -4               4          0.0000;
    58    0.514              -5               4          0.0000;
    59    0.522              -5               4          0.0000;
    60    0.531              -5               4          0.0000;
    61    0.540              -5               4          0.0000;
    62    0.549              -5               4          0.0000;
    63    0.558              -5               4          0.0000;
    64    0.567              -6               4          0.0000;
    65    0.576              -7               4          0.0000;
    66    0.584              -7               4          0.0000;
    67    0.593              -7               4          0.0000;
    68    0.602              -7               4          0.0000;
