 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0          0.5000;
     1    0.009               8               0          0.5000;
     2    0.018              36               1          0.5000;
     3    0.027              71              13          0.5000;
     4    0.035             108              41          0.5000;
     5    0.044             143              84          0.5000;
     6    0.053             178             136          0.5000;
     7    0.062             216             190          0.5000;
     8    0.071             263             239          0.5000;
     9    0.080             316             281          0.5000;
    10    0.089             371             320          0.5000;
    11    0.097             422             358          0.5000;
    12    0.106             465             398          0.5000;
    13    0.115             498             440          0.5000;
    14    0.124             522             483          0.5000;
    15    0.133             544             518          0.5000;
    16    0.142             566             543          0.5000;
    17    0.151             588             558          0.5000;
    18    0.159             609             563          0.5000;
    19    0.168             622             565          0.5000;
    20    0.177             626             566          0.5000;
    21    0.186             622             567          0.5000;
    22    0.195             609             567          0.5000;
    23    0.204             594             562          0.5000;
    24    0.213             581             551          0.5000;
    25    0.221             571             534          0.5000;
    26    0.230             561             515          0.5000;
    27    0.239             550             497          0.5000;
    28    0.248             535             480          0.5000;
    29    0.257             517             467          0.5000;
    30    0.266             498             454          0.5000;
    31    0.274             480             442          0.5000;
    32    0.283             464             428          0.5000;
    33    0.292             452             411          0.5000;
    34    0.301             441             393          0.5000;
    35    0.310             432             377          0.5000;
    36    0.319             423             365          0.5000;
    37    0.328             412             358          0.5000;
    38    0.336             403             354          0.5000;
    39    0.345             396             352          0.5000;
    40    0.354             394             351          0.5000;
    41    0.363             394             349          0.5000;
    42    0.372             398             349          0.5000;
    43    0.381             403             349          0.5000;
    44    0.390             406             352          0.5000;
    45    0.398             409             357          0.5000;
    46    0.407             411             362          0.5000;
    47    0.416             412             365          0.5000;
    48    0.425             414             366          0.5000;
    49    0.434             415             366          0.5000;
    50    0.443             416             366          0.5000;
    51    0.452             416             366          0.5000;
    52    0.460             416             366          0.5000;
    53    0.469             415             366          0.5000;
    54    0.478             415             366          0.5000;
    55    0.487             415             366          0.5000;
    56    0.496             415             366          0.5000;
    57    0.505             415             366          0.5000;
    58    0.514             415             366          0.5000;
    59    0.522             415             366          0.5000;
    60    0.531             415             366          0.5000;
    61    0.540             415             366          0.5000;
    62    0.549             415             366          0.5000;
    63    0.558             415             366          0.5000;
    64    0.567             415             366          0.5000;
    65    0.576             415             366          0.5000;
    66    0.584             415             366          0.5000;
    67    0.593             415             366          0.5000;
    68    0.602             415             366          0.5000;
    69    0.611             415             366          0.5000;
    70    0.620             415             366          0.5000;
    71    0.629             415             366          0.5000;
    72    0.638             415             366          0.5000;
    73    0.646             415             366          0.5000;
    74    0.655             415             366          0.5000;
    75    0.664             415             366          0.5000;
    76    0.673             415             366          0.5000;
    77    0.682             415             366          0.5000;
    78    0.691             415             366          0.5000;
    79    0.699             415             366          0.5000;
    80    0.708             415             366          0.5000;
    81    0.717             415             366          0.5000;
    82    0.726             415             366          0.5000;
    83    0.735             415             366          0.5000;
    84    0.744             415             366          0.5000;
    85    0.753             415             366          0.5000;
    86    0.761             415             366          0.5000;
    87    0.770             415             366          0.5000;
    88    0.779             415             366          0.5000;
    89    0.788             415             366          0.5000;
    90    0.797             415             366          0.5000;
    91    0.806             415             366          0.5000;
    92    0.815             415             366          0.5000;
    93    0.823             415             366          0.5000;
    94    0.832             415             366          0.5000;
    95    0.841             415             366          0.5000;
    96    0.850             415             366          0.5000;
    97    0.859             415             366          0.5000;
    98    0.868             415             366          0.5000;
    99    0.877             415             366          0.5000;
   100    0.885             415             366          0.5000;
   101    0.894             415             366          0.5000;
   102    0.903             415             366          0.5000;
   103    0.912             415             366          0.5000;
   104    0.921             415             366          0.5000;
   105    0.930             415             366          0.5000;
   106    0.939             415             366          0.5000;
   107    0.947             415             366          0.5000;
   108    0.956             415             366          0.5000;
   109    0.965             415             366          0.5000;
   110    0.974             415             366          0.5000;
   111    0.983             415             366          0.5000;
   112    0.992             415             366          0.5000;
   113    1.001             415             366          0.5000;
   114    1.009             415             366          0.5000;
   115    1.018             415             366          0.5000;
   116    1.027             415             366          0.5000;
   117    1.036             415             366          0.5000;
   118    1.045             415             366          0.5000;
   119    1.054             415             366          0.5000;
   120    1.063             415             366          0.5000;
   121    1.071             415             366          0.5000;
   122    1.080             415             366          0.5000;
   123    1.089             415             366          0.5000;
   124    1.098             415             366          0.5000;
   125    1.107             415             366          0.5000;
   126    1.116             415             366          0.5000;
   127    1.124             415             366          0.5000;
   128    1.133             415             366          0.5000;
   129    1.142             415             366          0.5000;
   130    1.151             415             366          0.5000;
   131    1.160             415             366          0.5000;
   132    1.169             415             366          0.5000;
   133    1.178             415             366          0.5000;
   134    1.186             415             366          0.5000;
   135    1.195             415             366          0.5000;
   136    1.204             415             366          0.5000;
   137    1.213             415             366          0.5000;
   138    1.222             415             366          0.5000;
   139    1.231             415             366          0.5000;
   140    1.240             415             366          0.5000;
   141    1.248             415             366          0.5000;
   142    1.257             415             366          0.5000;
   143    1.266             415             366          0.5000;
   144    1.275             415             366          0.5000;
   145    1.284             415             366          0.5000;
   146    1.293             415             366          0.5000;
   147    1.302             415             366          0.5000;
   148    1.310             415             366          0.5000;
   149    1.319             415             366          0.5000;
   150    1.328             415             366          0.5000;
   151    1.337             415             366          0.5000;
   152    1.346             415             366          0.5000;
   153    1.355             415             366          0.5000;
   154    1.364             415             366          0.5000;
   155    1.372             415             366          0.5000;
   156    1.381             415             366          0.5000;
   157    1.390             415             366          0.5000;
   158    1.399             415             366          0.5000;
   159    1.408             415             366          0.5000;
   160    1.417             415             366          0.5000;
   161    1.426             415             366          0.5000;
   162    1.434             415             366          0.5000;
   163    1.443             415             366          0.5000;
   164    1.452             415             366          0.5000;
   165    1.461             415             366          0.5000;
   166    1.470             415             366          0.5000;
   167    1.479             415             366          0.5000;
   168    1.488             415             366          0.5000;
   169    1.496             415             366          0.5000;
   170    1.505             415             366          0.5000;
   171    1.514             415             366          0.5000;
   172    1.523             415             366          0.5000;
   173    1.532             415             366          0.5000;
   174    1.541             415             366          0.5000;
   175    1.549             415             366          0.5000;
   176    1.558             415             366          0.5000;
   177    1.567             415             366          0.5000;
   178    1.576             415             366          0.5000;
   179    1.585             415             366          0.5000;
   180    1.594             415             366          0.5000;
   181    1.603             415             366          0.5000;
   182    1.611             415             366          0.5000;
   183    1.620             415             366          0.5000;
   184    1.629             415             366          0.5000;
   185    1.638             415             366          0.5000;
   186    1.647             415             366          0.5000;
   187    1.656             415             366          0.5000;
   188    1.665             415             366          0.5000;
   189    1.673             415             366          0.5000;
   190    1.682             415             366          0.5000;
   191    1.691             415             366          0.5000;
   192    1.700             415             366          0.5000;
   193    1.709             415             366          0.5000;
   194    1.718             415             366          0.5000;
   195    1.727             415             366          0.5000;
   196    1.735             415             366          0.5000;
   197    1.744             415             366          0.5000;
   198    1.753             415             366          0.5000;
   199    1.762             415             366          0.5000;
   200    1.771             415             366          0.5000;
   201    1.780             415             366          0.5000;
   202    1.789             415             366          0.5000;
   203    1.797             415             366          0.5000;
   204    1.806             415             366          0.5000;
   205    1.815             415             366          0.5000;
   206    1.824             415             366          0.5000;
   207    1.833             415             366          0.5000;
   208    1.842             415             366          0.5000;
   209    1.851             415             366          0.5000;
