 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000              16              49          0.0000;
     1    0.009              16              49          0.0000;
     2    0.018              16              49          0.0000;
     3    0.027              17              49          0.0000;
     4    0.035              17              49          0.0000;
     5    0.044              17              49          0.0000;
     6    0.053              17              49          0.0000;
     7    0.062              17              49          0.0000;
     8    0.071              17              49          0.0000;
     9    0.080              17              49          0.0000;
    10    0.089              17              49          0.0000;
    11    0.097              17              49          0.0000;
    12    0.106              17              49          0.0000;
    13    0.115              17              49          0.0000;
    14    0.124              17              49          0.0000;
    15    0.133              17              49          0.0000;
    16    0.142              17              49          0.0000;
    17    0.151              17              49          0.0000;
    18    0.159              17              49          0.0000;
    19    0.168              17              49          0.0000;
    20    0.177              17              49          0.0000;
    21    0.186              17              49          0.0000;
    22    0.195              17              49          0.0000;
    23    0.204              17              49          0.0000;
    24    0.213              17              49          0.0000;
    25    0.221              17              49          0.0000;
    26    0.230              17              49          0.0000;
    27    0.239              17              49          0.0000;
    28    0.248              17              49          0.0000;
    29    0.257              17              49          0.0000;
    30    0.266              17              49          0.0000;
    31    0.274              17              49          0.0000;
    32    0.283              17              49          0.0000;
    33    0.292              17              49          0.0000;
    34    0.301              17              49          0.0000;
    35    0.310              17              49          0.0000;
    36    0.319              17              49          0.0000;
    37    0.328              17              49          0.0000;
    38    0.336              17              49          0.0000;
    39    0.345              17              49          0.0000;
    40    0.354              17              49          0.0000;
    41    0.363              17              49          0.0000;
    42    0.372              17              49          0.0000;
    43    0.381              17              49          0.0000;
    44    0.390              17              49          0.0000;
    45    0.398              17              49          0.0000;
    46    0.407              17              49          0.0000;
    47    0.416              17              49          0.0000;
    48    0.425              17              50          0.0000;
    49    0.434              17              50          0.0000;
    50    0.443              17              50          0.0000;
    51    0.452              17              51          0.0000;
    52    0.460              17              51          0.0000;
    53    0.469              17              52          0.0000;
    54    0.478              17              52          0.0000;
    55    0.487              17              52          0.0000;
    56    0.496              17              53          0.0000;
    57    0.505              17              53          0.0000;
    58    0.514              17              53          0.0000;
    59    0.522              17              53          0.0000;
    60    0.531              17              53          0.0000;
    61    0.540              17              53          0.0000;
    62    0.549              17              54          0.0000;
    63    0.558              17              54          0.0000;
    64    0.567              17              55          0.0000;
    65    0.576              17              56          0.0000;
    66    0.584              17              56          0.0000;
    67    0.593              17              56          0.0000;
    68    0.602              17              56          0.0000;
    69    0.611              17              56          0.0000;
    70    0.620              17              56          0.0000;
    71    0.629              17              56          0.0000;
    72    0.638              17              56          0.0000;
    73    0.646              17              56          0.0000;
    74    0.655              17              56          0.0000;
    75    0.664              17              56          0.0000;
    76    0.673              17              56          0.0000;
    77    0.682              17              56          0.0000;
    78    0.691              17              56          0.0000;
    79    0.699              17              56          0.0000;
    80    0.708              17              56          0.0000;
    81    0.717              17              56          0.0000;
    82    0.726              17              56          0.0000;
    83    0.735              17              55          0.0000;
    84    0.744              17              51          0.0000;
    85    0.753              17              44          0.0000;
    86    0.761              17              32          0.0000;
    87    0.770              17               9          0.0000;
    88    0.779              17             -29          0.0000;
    89    0.788              17             -82          0.0000;
    90    0.797              17            -147          0.0000;
    91    0.806              17            -222          0.0000;
    92    0.815              17            -306          0.0000;
    93    0.823              15            -398          0.0000;
    94    0.832              14            -494          0.0000;
    95    0.841              12            -592          0.0000;
    96    0.850              11            -692          0.0000;
    97    0.859               9            -791          0.0000;
    98    0.868               8            -886          0.0000;
    99    0.877               6            -975          0.0000;
   100    0.885               4           -1059          0.0000;
   101    0.894               4           -1133          0.0000;
   102    0.903               3           -1197          0.0000;
   103    0.912               3           -1249          0.0000;
   104    0.921               2           -1291          0.0000;
   105    0.930               1           -1320          0.0000;
   106    0.939              -0           -1336          0.0000;
   107    0.947              -1           -1340          0.0000;
   108    0.956              -1           -1332          0.0000;
   109    0.965              -2           -1313          0.0000;
   110    0.974              -2           -1285          0.0000;
   111    0.983              -2           -1250          0.0000;
   112    0.992              -2           -1208          0.0000;
   113    1.001              -2           -1159          0.0000;
   114    1.009              -2           -1106          0.0000;
   115    1.018              -2           -1049          0.0000;
   116    1.027               0            -989          0.0000;
   117    1.036               1            -928          0.0000;
   118    1.045               2            -867          0.0000;
   119    1.054               2            -807          0.0000;
   120    1.063               3            -748          0.0000;
   121    1.071               4            -693          0.0000;
   122    1.080               4            -643          0.0000;
   123    1.089               5            -598          0.0000;
   124    1.098               6            -560          0.0000;
   125    1.107               6            -528          0.0000;
   126    1.116               7            -505          0.0000;
   127    1.124               7            -490          0.0000;
   128    1.133               8            -485          0.0000;
   129    1.142               8            -487          0.0000;
   130    1.151               9            -497          0.0000;
   131    1.160               9            -514          0.0000;
   132    1.169               9            -536          0.0000;
   133    1.178               9            -562          0.0000;
   134    1.186               9            -592          0.0000;
   135    1.195               9            -623          0.0000;
   136    1.204               9            -656          0.0000;
   137    1.213               9            -689          0.0000;
   138    1.222               9            -723          0.0000;
   139    1.231               9            -756          0.0000;
   140    1.240               9            -787          0.0000;
   141    1.248               9            -817          0.0000;
   142    1.257               9            -844          0.0000;
   143    1.266               8            -866          0.0000;
   144    1.275               8            -882          0.0000;
   145    1.284               7            -894          0.0000;
   146    1.293               7            -902          0.0000;
   147    1.302               6            -906          0.0000;
   148    1.310               5            -906          0.0000;
   149    1.319               5            -904          0.0000;
   150    1.328               4            -898          0.0000;
   151    1.337               3            -891          0.0000;
   152    1.346               2            -882          0.0000;
   153    1.355               2            -872          0.0000;
   154    1.364               2            -860          0.0000;
   155    1.372               2            -848          0.0000;
   156    1.381               2            -834          0.0000;
   157    1.390               2            -820          0.0000;
   158    1.399               2            -807          0.0000;
   159    1.408               2            -796          0.0000;
   160    1.417               2            -787          0.0000;
   161    1.426               2            -781          0.0000;
   162    1.434               2            -779          0.0000;
   163    1.443               2            -778          0.0000;
   164    1.452               2            -780          0.0000;
   165    1.461               2            -784          0.0000;
   166    1.470               2            -789          0.0000;
   167    1.479               2            -795          0.0000;
   168    1.488               2            -800          0.0000;
   169    1.496               2            -805          0.0000;
   170    1.505               2            -808          0.0000;
   171    1.514               2            -810          0.0000;
   172    1.523               2            -811          0.0000;
   173    1.532               2            -811          0.0000;
   174    1.541               2            -810          0.0000;
   175    1.549               2            -808          0.0000;
   176    1.558               2            -806          0.0000;
   177    1.567               2            -805          0.0000;
   178    1.576               2            -805          0.0000;
   179    1.585               2            -804          0.0000;
   180    1.594               2            -804          0.0000;
   181    1.603               2            -804          0.0000;
   182    1.611               2            -804          0.0000;
   183    1.620               2            -804          0.0000;
   184    1.629               2            -804          0.0000;
   185    1.638               2            -804          0.0000;
   186    1.647               2            -804          0.0000;
   187    1.656               2            -804          0.0000;
   188    1.665               2            -804          0.0000;
   189    1.673               1            -804          0.0000;
   190    1.682               1            -804          0.0000;
   191    1.691               1            -804          0.0000;
   192    1.700               1            -804          0.0000;
   193    1.709               1            -804          0.0000;
   194    1.718               1            -804          0.0000;
   195    1.727               0            -804          0.0000;
   196    1.735               0            -804          0.0000;
   197    1.744               0            -804          0.0000;
   198    1.753              -0            -804          0.0000;
   199    1.762              -0            -804          0.0000;
   200    1.771              -1            -804          0.0000;
   201    1.780              -1            -804          0.0000;
   202    1.789              -1            -804          0.0000;
   203    1.797              -1            -804          0.0000;
   204    1.806              -1            -804          0.0000;
   205    1.815              -2            -804          0.0000;
   206    1.824              -3            -804          0.0000;
   207    1.833              -3            -804          0.0000;
   208    1.842              -3            -804          0.0000;
   209    1.851              -3            -804          0.0000;
   210    1.859              -3            -804          0.0000;
   211    1.868              -3            -804          0.0000;
   212    1.877              -3            -804          0.0000;
   213    1.886              -3            -804          0.0000;
   214    1.895              -3            -804          0.0000;
   215    1.904              -4            -804          0.0000;
   216    1.913              -4            -804          0.0000;
   217    1.921              -4            -804          0.0000;
   218    1.930              -4            -804          0.0000;
   219    1.939              -4            -804          0.0000;
   220    1.948              -5            -804          0.0000;
   221    1.957              -5            -804          0.0000;
   222    1.966              -5            -804          0.0000;
   223    1.974              -5            -804          0.0000;
   224    1.983              -5            -804          0.0000;
   225    1.992              -5            -804          0.0000;
   226    2.001              -5            -804          0.0000;
   227    2.010              -5            -804          0.0000;
   228    2.019              -5            -804          0.0000;
   229    2.028              -6            -804          0.0000;
   230    2.036              -8            -804          0.0000;
   231    2.045              -8            -804          0.0000;
   232    2.054              -9            -804          0.0000;
   233    2.063              -9            -804          0.0000;
   234    2.072              -9            -804          0.0000;
   235    2.081              -9            -804          0.0000;
   236    2.090              -9            -804          0.0000;
   237    2.098              -9            -804          0.0000;
   238    2.107              -9            -804          0.0000;
   239    2.116              -9            -804          0.0000;
   240    2.125              -9            -804          0.0000;
   241    2.134              -9            -804          0.0000;
   242    2.143              -9            -804          0.0000;
   243    2.152              -9            -804          0.0000;
   244    2.160              -9            -804          0.0000;
   245    2.169              -9            -804          0.0000;
   246    2.178              -9            -804          0.0000;
   247    2.187              -9            -804          0.0000;
   248    2.196              -9            -804          0.0000;
   249    2.205              -9            -804          0.0000;
   250    2.214              -9            -804          0.0000;
   251    2.222              -9            -804          0.0000;
   252    2.231              -9            -804          0.0000;
   253    2.240              -9            -804          0.0000;
   254    2.249              -9            -804          0.0000;
   255    2.258              -9            -804          0.0000;
   256    2.267              -9            -804          0.0000;
   257    2.276              -9            -804          0.0000;
   258    2.284              -9            -804          0.0000;
   259    2.293              -7            -804          0.0000;
   260    2.302              -7            -804          0.0000;
   261    2.311              -7            -804          0.0000;
   262    2.320              -7            -804          0.0000;
   263    2.329              -7            -804          0.0000;
   264    2.338              -7            -804          0.0000;
   265    2.346              -7            -804          0.0000;
   266    2.355              -7            -804          0.0000;
   267    2.364              -7            -804          0.0000;
   268    2.373              -7            -804          0.0000;
   269    2.382              -6            -804          0.0000;
   270    2.391              -6            -804          0.0000;
   271    2.399              -6            -804          0.0000;
   272    2.408              -6            -804          0.0000;
   273    2.417              -6            -804          0.0000;
   274    2.426              -6            -804          0.0000;
   275    2.435              -6            -804          0.0000;
   276    2.444              -6            -804          0.0000;
   277    2.453              -6            -804          0.0000;
   278    2.461              -6            -804          0.0000;
   279    2.470              -6            -804          0.0000;
   280    2.479              -6            -804          0.0000;
   281    2.488              -6            -804          0.0000;
   282    2.497              -6            -804          0.0000;
   283    2.506              -6            -804          0.0000;
   284    2.515              -5            -804          0.0000;
   285    2.523              -5            -804          0.0000;
   286    2.532              -5            -804          0.0000;
   287    2.541              -5            -804          0.0000;
   288    2.550              -5            -804          0.0000;
   289    2.559              -5            -804          0.0000;
   290    2.568              -5            -804          0.0000;
