 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               7              -1          0.0000;
     1    0.009               7              -1          0.0000;
     2    0.018               7              -1          0.0000;
     3    0.027               7              -1          0.0000;
     4    0.035               7              -1          0.0000;
     5    0.044               6              -1          0.0000;
     6    0.053               5              -1          0.0000;
     7    0.062               4              -1          0.0000;
     8    0.071               4              -1          0.0000;
     9    0.080               4              -1          0.0000;
    10    0.089               4              -1          0.0000;
    11    0.097               4              -1          0.0000;
    12    0.106               4              -1          0.0000;
    13    0.115               4              -1          0.0000;
    14    0.124               4              -1          0.0000;
    15    0.133               4              -1          0.0000;
    16    0.142               4              -1          0.0000;
    17    0.151               4              -1          0.0000;
    18    0.159               4              -1          0.0000;
    19    0.168               4              -1          0.0000;
    20    0.177               4              -1          0.0000;
    21    0.186               4              -1          0.0000;
    22    0.195               4              -1          0.0000;
    23    0.204               4              -1          0.0000;
    24    0.213               4              -1          0.0000;
    25    0.221               4              -1          0.0000;
    26    0.230               4              -1          0.0000;
    27    0.239               4              -1          0.0000;
    28    0.248               4              -1          0.0000;
    29    0.257               4              -1          0.0000;
    30    0.266               4              -1          0.0000;
    31    0.274               6              -1          0.0000;
    32    0.283               6              -1          0.0000;
    33    0.292               6              -1          0.0000;
    34    0.301               6              -1          0.0000;
    35    0.310               6              -1          0.0000;
    36    0.319               6              -1          0.0000;
    37    0.328               6              -1          0.0000;
    38    0.336               6              -1          0.0000;
    39    0.345               6              -1          0.0000;
    40    0.354               6              -1          0.0000;
    41    0.363               6              -1          0.0000;
    42    0.372               6              -1          0.0000;
    43    0.381               6              -1          0.0000;
    44    0.390               6              -1          0.0000;
    45    0.398               6              -1          0.0000;
    46    0.407               6              -1          0.0000;
    47    0.416               6              -1          0.0000;
    48    0.425               6              -1          0.0000;
    49    0.434               6              -1          0.0000;
    50    0.443               6              -1          0.0000;
    51    0.452               6              -1          0.0000;
    52    0.460               6              -1          0.0000;
    53    0.469               6              -1          0.0000;
    54    0.478               6              -1          0.0000;
    55    0.487               6              -1          0.0000;
    56    0.496               6              -1          0.0000;
    57    0.505               6              -1          0.0000;
    58    0.514               6              -1          0.0000;
    59    0.522               8              -1          0.0000;
    60    0.531               8              -1          0.0000;
    61    0.540               8              -1          0.0000;
    62    0.549               8              -1          0.0000;
    63    0.558               8              -0          0.0000;
    64    0.567               8              -0          0.0000;
    65    0.576               8              -0          0.0000;
    66    0.584               8              -0          0.0000;
    67    0.593               8              -0          0.0000;
    68    0.602               8              -0          0.0000;
    69    0.611               8               1          0.0000;
    70    0.620               8               1          0.0000;
    71    0.629               8               2          0.0000;
    72    0.638               8               3          0.0000;
    73    0.646               8               1          0.0000;
    74    0.655               8             -13          0.0000;
    75    0.664               8             -44          0.0000;
    76    0.673               8             -91          0.0000;
    77    0.682               8            -152          0.0000;
    78    0.691               7            -227          0.0000;
    79    0.699               6            -311          0.0000;
    80    0.708               3            -405          0.0000;
    81    0.717               1            -506          0.0000;
    82    0.726              -2            -611          0.0000;
    83    0.735              -5            -718          0.0000;
    84    0.744              -9            -826          0.0000;
    85    0.753             -11            -932          0.0000;
    86    0.761             -15           -1033          0.0000;
    87    0.770             -18           -1129          0.0000;
    88    0.779             -21           -1216          0.0000;
    89    0.788             -24           -1293          0.0000;
    90    0.797             -25           -1360          0.0000;
    91    0.806             -26           -1415          0.0000;
    92    0.815             -27           -1457          0.0000;
    93    0.823             -27           -1486          0.0000;
    94    0.832             -27           -1500          0.0000;
    95    0.841             -27           -1503          0.0000;
    96    0.850             -27           -1490          0.0000;
    97    0.859             -28           -1467          0.0000;
    98    0.868             -29           -1434          0.0000;
    99    0.877             -29           -1392          0.0000;
   100    0.885             -29           -1343          0.0000;
   101    0.894             -29           -1289          0.0000;
   102    0.903             -29           -1229          0.0000;
   103    0.912             -27           -1164          0.0000;
   104    0.921             -25           -1097          0.0000;
   105    0.930             -23           -1028          0.0000;
   106    0.939             -21            -960          0.0000;
   107    0.947             -20            -892          0.0000;
   108    0.956             -19            -827          0.0000;
   109    0.965             -18            -765          0.0000;
   110    0.974             -17            -709          0.0000;
   111    0.983             -16            -659          0.0000;
   112    0.992             -14            -617          0.0000;
   113    1.001             -13            -582          0.0000;
   114    1.009             -11            -557          0.0000;
   115    1.018             -10            -540          0.0000;
   116    1.027              -9            -533          0.0000;
   117    1.036              -9            -532          0.0000;
